Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.012025,-0.000292,0.020571,0.999716,-0.050778,0.131001,0.031327,-0.019222,0.006498,-0.110939,0.99362,-0.045419,-0.194547,0.027431,0.010614,-0.013116,0.005656,-0.999842,-0.049142,-0.024057,0.954314,stand
1,0.004167,-0.011878,-0.000354,0.024039,0.99964,-0.050891,0.131536,0.031332,-0.018837,0.006308,-0.111182,0.993602,-0.045435,-0.194571,0.027444,0.010848,-0.013494,0.005518,-0.999835,-0.049403,-0.024097,0.954309,stand
2,0.008333,-0.011634,-0.000513,0.027557,0.999552,-0.051068,0.132135,0.031334,-0.018832,0.006073,-0.111597,0.993557,-0.045466,-0.19459,0.027465,0.01099,-0.01388,0.005402,-0.999829,-0.049653,-0.024122,0.954302,stand
3,0.0125,-0.012112,-0.00105,0.031096,0.999443,-0.051266,0.132788,0.031345,-0.018674,0.005901,-0.112736,0.993432,-0.045531,-0.194656,0.027475,0.01107,-0.014373,0.005184,-0.999822,-0.049913,-0.024179,0.954334,stand
4,0.016667,-0.012581,-0.001591,0.034363,0.999329,-0.05144,0.133429,0.031345,-0.018474,0.005775,-0.114747,0.993206,-0.04564,-0.19482,0.027456,0.012102,-0.015004,0.004694,-0.999803,-0.050285,-0.02418,0.954258,stand
5,0.020833,-0.013124,-0.002119,0.037427,0.999211,-0.051628,0.134057,0.031311,-0.018421,0.005565,-0.117729,0.992859,-0.045803,-0.195139,0.027439,0.01226,-0.015504,0.004482,-0.999795,-0.050547,-0.024238,0.954271,stand
6,0.025,-0.012559,-0.002337,0.040674,0.999091,-0.051914,0.134774,0.031365,-0.017539,0.005301,-0.121498,0.992423,-0.045973,-0.195555,0.027389,0.012342,-0.015964,0.004334,-0.999787,-0.050777,-0.024293,0.954282,stand
7,0.029167,-0.012764,-0.002605,0.043921,0.99895,-0.052159,0.135465,0.031362,-0.016759,0.0054,-0.125373,0.991953,-0.046138,-0.196096,0.027324,0.012429,-0.016511,0.004159,-0.999778,-0.05104,-0.02436,0.954291,stand
8,0.033333,-0.013451,-0.003171,0.047091,0.998795,-0.052433,0.136174,0.031366,-0.015957,0.005465,-0.129134,0.991484,-0.04622,-0.196673,0.027326,0.012506,-0.016981,0.003922,-0.99977,-0.051318,-0.024419,0.954299,stand
9,0.0375,-0.013782,-0.003689,0.050166,0.998639,-0.052711,0.136883,0.031354,-0.015648,0.005373,-0.132564,0.991036,-0.046343,-0.19721,0.027357,0.012606,-0.017428,0.00365,-0.999762,-0.051559,-0.024491,0.954296,stand
10,0.041667,-0.013984,-0.004116,0.053097,0.998483,-0.052947,0.137553,0.031342,-0.015356,0.005438,-0.135539,0.990638,-0.046486,-0.19771,0.02737,0.012749,-0.017797,0.003391,-0.999755,-0.051817,-0.02457,0.954307,stand
11,0.045833,-0.014378,-0.004491,0.055844,0.998326,-0.053175,0.138198,0.031383,-0.015169,0.005332,-0.138245,0.990268,-0.04669,-0.198184,0.02733,0.012888,-0.018289,0.003088,-0.999745,-0.052089,-0.024657,0.954303,stand
12,0.05,-0.014937,-0.004913,0.058341,0.998173,-0.05342,0.138812,0.031402,-0.014996,0.005194,-0.140559,0.989945,-0.046898,-0.198587,0.027301,0.012932,-0.018702,0.002735,-0.999738,-0.052374,-0.024748,0.954283,stand
13,0.054167,-0.01568,-0.005185,0.060452,0.998035,-0.053665,0.139384,0.031382,-0.014823,0.004998,-0.142396,0.989686,-0.04708,-0.198924,0.027283,0.012871,-0.018899,0.002399,-0.999736,-0.052643,-0.024841,0.954242,stand
14,0.058333,-0.016482,-0.005571,0.062482,0.997894,-0.053911,0.139947,0.03139,-0.014639,0.004947,-0.143901,0.989471,-0.047246,-0.19924,0.02726,0.012824,-0.01932,0.002118,-0.999729,-0.052929,-0.024922,0.954196,stand
15,0.0625,-0.016833,-0.00629,0.064335,0.997767,-0.054187,0.140447,0.031481,-0.014413,0.004965,-0.145338,0.989265,-0.047352,-0.199553,0.027256,0.012763,-0.019737,0.001814,-0.999722,-0.05319,-0.025028,0.954183,stand
16,0.066667,-0.017146,-0.006428,0.065876,0.99766,-0.054355,0.140874,0.031478,-0.014208,0.004954,-0.146587,0.989083,-0.047467,-0.199806,0.027242,0.012766,-0.020138,0.001534,-0.999715,-0.05342,-0.025113,0.954164,stand
17,0.070833,-0.017846,-0.006602,0.066995,0.997572,-0.054451,0.1412,0.031445,-0.014207,0.005018,-0.147793,0.988904,-0.047586,-0.200018,0.027236,0.012721,-0.020374,0.001305,-0.999711,-0.053679,-0.025217,0.954135,stand
18,0.075,-0.018263,-0.006724,0.067918,0.997501,-0.054546,0.141477,0.031417,-0.014163,0.005015,-0.148887,0.98874,-0.047678,-0.200187,0.027245,0.012594,-0.020702,0.001029,-0.999706,-0.053942,-0.025338,0.954129,stand
19,0.079167,-0.018692,-0.00687,0.06864,0.997443,-0.054631,0.141706,0.031411,-0.013809,0.004908,-0.150166,0.988552,-0.047774,-0.20038,0.027239,0.012554,-0.020888,0.000801,-0.999703,-0.054195,-0.025443,0.954105,stand
20,0.083333,-0.018887,-0.007409,0.069205,0.997396,-0.054782,0.141918,0.031476,-0.013484,0.004837,-0.151303,0.988384,-0.047851,-0.200558,0.027233,0.012572,-0.021197,0.000552,-0.999696,-0.054425,-0.025548,0.954092,stand
21,0.0875,-0.019466,-0.007856,0.069347,0.997372,-0.054858,0.142028,0.031496,-0.0134,0.004865,-0.152536,0.988195,-0.047939,-0.200749,0.027234,0.012641,-0.021337,0.000417,-0.999692,-0.054649,-0.025633,0.954054,stand
22,0.091667,-0.019641,-0.007897,0.069245,0.997375,-0.054899,0.142077,0.03149,-0.013313,0.004918,-0.153773,0.988004,-0.048024,-0.200942,0.02724,0.012694,-0.021496,0.000213,-0.999688,-0.054882,-0.025741,0.954031,stand
23,0.095833,-0.019641,-0.007868,0.068899,0.997399,-0.054898,0.142067,0.031469,-0.013353,0.005002,-0.155045,0.987805,-0.048127,-0.201141,0.027231,0.012829,-0.021534,6.7e-05,-0.999686,-0.055091,-0.025853,0.954018,stand
24,0.1,-0.019359,-0.007781,0.068464,0.997435,-0.054882,0.142007,0.031463,-0.0135,0.005038,-0.15622,0.987617,-0.04824,-0.201353,0.027243,0.012881,-0.021711,-1e-05,-0.999681,-0.055303,-0.02594,0.953959,stand
25,0.104167,-0.019066,-0.007303,0.067995,0.997477,-0.054797,0.14191,0.031389,-0.013579,0.005111,-0.157215,0.987458,-0.04836,-0.201546,0.027243,0.012991,-0.02181,-0.000135,-0.999678,-0.055514,-0.026046,0.953934,stand
26,0.108333,-0.018937,-0.00704,0.067621,0.997507,-0.054736,0.141853,0.03133,-0.013613,0.005092,-0.158107,0.987315,-0.048475,-0.201715,0.027262,0.013188,-0.02182,-0.000171,-0.999675,-0.055699,-0.026147,0.953925,stand
27,0.1125,-0.018932,-0.007012,0.067471,0.997517,-0.054725,0.141844,0.031307,-0.013679,0.005082,-0.159025,0.987167,-0.048574,-0.201886,0.02727,0.013264,-0.021734,-0.000167,-0.999676,-0.055896,-0.026245,0.953896,stand
28,0.116667,-0.018778,-0.006918,0.067288,0.997533,-0.054741,0.141832,0.031289,-0.013648,0.005163,-0.15998,0.987012,-0.048657,-0.202037,0.027263,0.01336,-0.021746,-0.000187,-0.999674,-0.056114,-0.026358,0.953883,stand
