Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.013928,-0.000947,0.003542,0.999896,0.604934,-1.081795,0.008873,-0.027172,0.006209,-0.106978,0.993871,0.602717,-1.416065,0.005202,0.009101,0.005957,0.002165,-0.999938,0.60685,-1.248817,0.92764,stand
1,0.004167,-0.01387,-0.00095,0.003523,0.999897,0.604926,-1.081792,0.008875,-0.027182,0.00622,-0.106991,0.993869,0.602714,-1.416063,0.005204,0.009087,0.005975,0.002132,-0.999939,0.606844,-1.248823,0.927627,stand
2,0.008333,-0.013891,-0.000908,0.003557,0.999897,0.604926,-1.081792,0.008879,-0.027213,0.006246,-0.106962,0.993871,0.602715,-1.416064,0.005209,0.009096,0.005984,0.002125,-0.999938,0.606833,-1.248824,0.927643,stand
3,0.0125,-0.013931,-0.000943,0.003552,0.999896,0.604931,-1.081793,0.008871,-0.027202,0.006214,-0.106995,0.993868,0.602713,-1.416063,0.005202,0.009134,0.006022,0.002084,-0.999938,0.60682,-1.248828,0.927634,stand
4,0.016667,-0.013869,-0.000958,0.00355,0.999897,0.60493,-1.081797,0.008875,-0.02717,0.006249,-0.106973,0.993871,0.602712,-1.41606,0.0052,0.009128,0.006045,0.002046,-0.999938,0.606812,-1.248834,0.927643,stand
5,0.020833,-0.013856,-0.000921,0.003546,0.999897,0.604928,-1.081799,0.00887,-0.027127,0.006254,-0.106958,0.993874,0.602715,-1.416063,0.005204,0.009129,0.006051,0.002028,-0.999938,0.606806,-1.248839,0.927642,stand
6,0.025,-0.013914,-0.00096,0.003549,0.999897,0.604928,-1.081796,0.008872,-0.027215,0.006277,-0.106958,0.993871,0.602711,-1.416062,0.005205,0.009155,0.006091,0.001995,-0.999938,0.606792,-1.248845,0.927645,stand
7,0.029167,-0.01383,-0.000928,0.003534,0.999898,0.604921,-1.081793,0.008874,-0.027202,0.006225,-0.106978,0.99387,0.602708,-1.416054,0.005202,0.00915,0.00609,0.001979,-0.999938,0.606785,-1.248853,0.927639,stand
8,0.033333,-0.013905,-0.000956,0.003563,0.999897,0.604931,-1.081794,0.008873,-0.027238,0.006288,-0.10698,0.993868,0.602708,-1.416059,0.005208,0.009166,0.006117,0.001966,-0.999937,0.606777,-1.248858,0.927645,stand
9,0.0375,-0.013792,-0.000898,0.003538,0.999898,0.604918,-1.081793,0.008868,-0.027191,0.006231,-0.106959,0.993872,0.602711,-1.416062,0.005206,0.009131,0.006111,0.001931,-0.999938,0.606762,-1.248866,0.927646,stand
