Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.017835,0.023275,-0.627335,0.778197,0.117266,1.240724,0.047011,0.012333,-0.02697,0.727497,-0.68547,-0.169159,1.184927,0.048688,-0.00876,-0.03354,0.591806,-0.805335,-0.001501,1.199715,0.966927,stand
1,0.004167,-0.017859,0.02325,-0.627337,0.778196,0.117273,1.240728,0.047008,0.012387,-0.026972,0.727472,-0.685495,-0.169166,1.184932,0.048685,-0.008797,-0.033637,0.591866,-0.805286,-0.001413,1.199648,0.96692,stand
2,0.008333,-0.017966,0.023284,-0.627306,0.778217,0.117272,1.240735,0.047013,0.012304,-0.02694,0.727545,-0.68542,-0.169151,1.184925,0.048684,-0.008944,-0.033693,0.591895,-0.805261,-0.001332,1.199586,0.966921,stand
3,0.0125,-0.017929,0.023286,-0.627325,0.778203,0.117276,1.240719,0.047018,0.012376,-0.026996,0.72748,-0.685485,-0.169165,1.184928,0.048682,-0.008938,-0.033809,0.59191,-0.805245,-0.001236,1.19952,0.966914,stand
4,0.016667,-0.017921,0.023269,-0.627305,0.77822,0.117279,1.240724,0.047017,0.012427,-0.026993,0.727468,-0.685498,-0.169166,1.184929,0.048684,-0.009644,-0.034061,0.591913,-0.805224,-0.001174,1.199458,0.967013,stand
5,0.020833,-0.018067,0.023327,-0.627285,0.77823,0.11728,1.240732,0.047018,0.012371,-0.02696,0.727469,-0.685499,-0.169165,1.184929,0.048681,-0.009864,-0.034212,0.591962,-0.805179,-0.001098,1.199391,0.967031,stand
6,0.025,-0.017944,0.023316,-0.627309,0.778215,0.117292,1.240722,0.047025,0.012398,-0.027032,0.727456,-0.685509,-0.169173,1.184933,0.048667,-0.009987,-0.034356,0.591888,-0.805226,-0.001057,1.199334,0.967035,stand
7,0.029167,-0.018102,0.023337,-0.627314,0.778206,0.117289,1.240729,0.047025,0.012408,-0.027018,0.727442,-0.685525,-0.169175,1.184928,0.04868,-0.010089,-0.034571,0.591908,-0.805201,-0.000985,1.199283,0.967026,stand
8,0.033333,-0.018124,0.02339,-0.627324,0.778196,0.117296,1.240727,0.047031,0.012363,-0.027008,0.727479,-0.685486,-0.169173,1.184931,0.048677,-0.010217,-0.034732,0.591933,-0.805174,-0.000901,1.19923,0.967049,stand
9,0.0375,-0.01824,0.023449,-0.627307,0.778205,0.117294,1.240733,0.047036,0.012349,-0.026977,0.727482,-0.685485,-0.169167,1.184929,0.048677,-0.010411,-0.034919,0.591932,-0.805164,-0.000817,1.199173,0.967063,stand
10,0.041667,-0.018314,0.023492,-0.627335,0.77818,0.117294,1.240725,0.047032,0.01239,-0.02701,0.727451,-0.685516,-0.169173,1.184933,0.048661,-0.01065,-0.03533,0.592037,-0.805065,-0.000688,1.199108,0.967098,stand
11,0.045833,-0.018386,0.023446,-0.627336,0.778178,0.117298,1.240725,0.04703,0.012349,-0.027005,0.727448,-0.68552,-0.169179,1.184932,0.048662,-0.0108,-0.035535,0.592079,-0.805024,-0.000595,1.199058,0.967108,stand
12,0.05,-0.018383,0.023467,-0.627317,0.778193,0.117301,1.24073,0.047033,0.012364,-0.027018,0.727441,-0.685527,-0.169178,1.184932,0.048658,-0.01094,-0.035697,0.592119,-0.804986,-0.000513,1.199001,0.967111,stand
13,0.054167,-0.018542,0.023539,-0.62731,0.778193,0.117303,1.240733,0.047034,0.012404,-0.027067,0.727407,-0.68556,-0.169185,1.184933,0.048658,-0.011033,-0.035848,0.59212,-0.804976,-0.000414,1.198945,0.96711,stand
14,0.058333,-0.018461,0.023502,-0.627344,0.778169,0.117312,1.240733,0.047034,0.012379,-0.027023,0.727407,-0.685562,-0.169187,1.184934,0.048655,-0.011239,-0.035993,0.592138,-0.804954,-0.000321,1.198897,0.967104,stand
15,0.0625,-0.018516,0.023564,-0.62733,0.778177,0.117319,1.240732,0.047039,0.012271,-0.02692,0.727456,-0.685516,-0.169181,1.18493,0.048659,-0.011312,-0.036117,0.592139,-0.804946,-0.000217,1.198829,0.967095,stand
16,0.066667,-0.018706,0.023593,-0.627309,0.778189,0.117312,1.240739,0.047041,0.012284,-0.026909,0.727431,-0.685543,-0.169186,1.184928,0.048656,-0.011564,-0.036224,0.59213,-0.804945,-0.000113,1.198766,0.967108,stand
17,0.070833,-0.018686,0.023604,-0.627324,0.778177,0.11731,1.240737,0.047042,0.012227,-0.026876,0.727424,-0.685553,-0.16919,1.184929,0.048655,-0.011677,-0.036363,0.592131,-0.804936,-1.2e-05,1.198701,0.967103,stand
18,0.075,-0.018784,0.023631,-0.627348,0.778154,0.117323,1.240725,0.047041,0.012277,-0.026917,0.727405,-0.68557,-0.169202,1.184934,0.048649,-0.011874,-0.036501,0.592111,-0.804942,9.5e-05,1.198634,0.967109,stand
19,0.079167,-0.018824,0.023645,-0.627317,0.778178,0.117324,1.240734,0.047042,0.012224,-0.026877,0.727413,-0.685565,-0.169202,1.184936,0.048647,-0.012049,-0.036621,0.592035,-0.80499,0.000188,1.198549,0.96712,stand
20,0.083333,-0.019083,0.023737,-0.627325,0.778162,0.117324,1.240739,0.047041,0.012158,-0.02678,0.727394,-0.68559,-0.169207,1.184932,0.048647,-0.011512,-0.036811,0.592013,-0.805005,0.000475,1.198272,0.967162,stand
21,0.0875,-0.019094,0.023782,-0.627362,0.778131,0.117327,1.240737,0.047047,0.012142,-0.026776,0.727397,-0.685587,-0.169216,1.184935,0.048648,-0.011623,-0.036959,0.592038,-0.804978,0.000608,1.198173,0.967159,stand
22,0.091667,-0.019208,0.023798,-0.627322,0.77816,0.11733,1.240743,0.047045,0.012121,-0.026682,0.727403,-0.685585,-0.169215,1.184935,0.04865,-0.011732,-0.037127,0.592075,-0.804942,0.000734,1.198098,0.967144,stand
23,0.095833,-0.019122,0.023778,-0.627386,0.778111,0.11734,1.240734,0.047054,0.012132,-0.026687,0.727366,-0.685624,-0.169227,1.18494,0.048646,-0.013421,-0.038856,0.591745,-0.805076,0.000559,1.198269,0.967604,stand
24,0.1,-0.019229,0.023808,-0.627408,0.778089,0.117343,1.240738,0.047056,0.012019,-0.026542,0.727383,-0.685613,-0.169227,1.18494,0.048655,-0.014041,-0.040005,0.591698,-0.805044,0.000694,1.198088,0.967757,stand
25,0.104167,-0.019206,0.023804,-0.627414,0.778085,0.117349,1.240733,0.047055,0.011986,-0.026576,0.727352,-0.685645,-0.169242,1.184947,0.048645,-0.013713,-0.039105,0.591814,-0.805009,0.000798,1.198114,0.967582,stand
26,0.108333,-0.019319,0.023867,-0.627404,0.778088,0.117356,1.240736,0.047061,0.012028,-0.026585,0.727323,-0.685674,-0.169254,1.184955,0.048641,-0.01296,-0.03877,0.592183,-0.804766,0.001155,1.197841,0.967323,stand
27,0.1125,-0.019522,0.023924,-0.627396,0.778088,0.117353,1.240751,0.04706,0.011991,-0.026507,0.727311,-0.685691,-0.16926,1.184957,0.048643,-0.013996,-0.039458,0.591904,-0.80492,0.001059,1.197949,0.96756,stand
28,0.116667,-0.019552,0.023966,-0.62743,0.778059,0.117355,1.240747,0.047063,0.011973,-0.026349,0.727331,-0.685676,-0.169266,1.184957,0.048647,-0.014112,-0.039461,0.591901,-0.80492,0.001188,1.197866,0.967537,stand
29,0.120833,-0.019554,0.023964,-0.627421,0.778066,0.11736,1.24075,0.04707,0.011935,-0.026332,0.727277,-0.685735,-0.169277,1.184967,0.048647,-0.014282,-0.039602,0.591943,-0.80488,0.001313,1.197794,0.967523,stand
30,0.125,-0.019663,0.023966,-0.627431,0.778055,0.117358,1.240757,0.047065,0.011885,-0.026272,0.727274,-0.685741,-0.169287,1.184973,0.048645,-0.014713,-0.039962,0.592112,-0.80473,0.001517,1.197686,0.967581,stand
31,0.129167,-0.019736,0.024029,-0.627462,0.778027,0.117363,1.240749,0.047075,0.011811,-0.026189,0.727302,-0.685717,-0.169288,1.184972,0.048659,-0.014473,-0.039883,0.592391,-0.804532,0.001757,1.197545,0.967436,jog
32,0.133333,-0.019778,0.024028,-0.627496,0.777998,0.117372,1.24075,0.047075,0.011764,-0.02607,0.727276,-0.685749,-0.169301,1.184975,0.048658,-0.014403,-0.039773,0.592547,-0.804424,0.00197,1.197392,0.96732,jog
33,0.1375,-0.019848,0.024024,-0.627511,0.777984,0.117373,1.240758,0.047072,0.011768,-0.026025,0.727235,-0.685794,-0.169311,1.184985,0.048653,-0.020068,-0.038188,0.593014,-0.804036,0.001996,1.197297,0.968104,jog
34,0.141667,-0.020046,0.024081,-0.627512,0.777976,0.117367,1.240767,0.047077,0.011702,-0.02546,0.727389,-0.685653,-0.169369,1.184979,0.048711,-0.02101,-0.03788,0.59314,-0.803933,0.002208,1.197111,0.968093,jog
35,0.145833,-0.020225,0.024161,-0.627539,0.777947,0.117372,1.240775,0.047082,0.01159,-0.025295,0.727403,-0.685646,-0.169371,1.184983,0.048712,-0.021319,-0.038012,0.593203,-0.803872,0.002402,1.196954,0.968023,jog
36,0.15,-0.020281,0.024153,-0.627544,0.777942,0.117371,1.240782,0.047079,0.011623,-0.025775,0.72721,-0.685832,-0.169339,1.185001,0.04866,-0.021637,-0.038267,0.593353,-0.803741,0.002736,1.196709,0.968018,jog
37,0.154167,-0.020392,0.02415,-0.62758,0.77791,0.11738,1.24079,0.047087,0.011517,-0.02516,0.72737,-0.685688,-0.169401,1.184996,0.048714,-0.021895,-0.038532,0.593468,-0.803636,0.002916,1.196595,0.968022,jog
38,0.158333,-0.020451,0.024171,-0.627601,0.777891,0.117378,1.240797,0.04709,0.011405,-0.025002,0.727378,-0.685686,-0.169413,1.185001,0.048721,-0.022258,-0.038819,0.593584,-0.803527,0.003091,1.196494,0.968057,jog
39,0.1625,-0.020531,0.024194,-0.627635,0.777861,0.117386,1.240807,0.047093,0.011319,-0.024973,0.727372,-0.685695,-0.169421,1.18501,0.04872,-0.022468,-0.039128,0.593589,-0.803503,0.003225,1.196414,0.968111,jog
40,0.166667,-0.020813,0.024252,-0.627603,0.777878,0.117382,1.240821,0.047087,0.011345,-0.024858,0.727294,-0.685782,-0.169448,1.185025,0.048719,-0.022759,-0.039537,0.5937,-0.803392,0.003382,1.196332,0.96817,jog
41,0.170833,-0.020777,0.024259,-0.627677,0.777818,0.117395,1.240819,0.047097,0.011252,-0.024674,0.727323,-0.68576,-0.169457,1.185023,0.048724,-0.022906,-0.040151,0.593801,-0.803283,0.003564,1.196266,0.968262,jog
42,0.175,-0.020823,0.024273,-0.627721,0.777781,0.117404,1.240831,0.0471,0.01119,-0.024664,0.7273,-0.685785,-0.169467,1.18503,0.048722,-0.022944,-0.040566,0.593808,-0.803256,0.003708,1.196199,0.968309,jog
43,0.179167,-0.021099,0.024325,-0.627711,0.77778,0.1174,1.240851,0.047094,0.011059,-0.024474,0.727342,-0.685749,-0.169473,1.185033,0.04873,-0.023127,-0.040978,0.593809,-0.803229,0.003861,1.196122,0.968338,jog
44,0.183333,-0.021151,0.024406,-0.627749,0.777745,0.117406,1.24086,0.047103,0.01107,-0.024401,0.727297,-0.6858,-0.169495,1.18504,0.048726,-0.023306,-0.041306,0.593857,-0.803172,0.004023,1.196036,0.968363,jog
45,0.1875,-0.021291,0.024366,-0.627798,0.777703,0.11741,1.240868,0.047102,0.010915,-0.024252,0.72733,-0.685773,-0.169501,1.185049,0.048728,-0.023759,-0.041491,0.593901,-0.803116,0.004172,1.195973,0.968421,jog
46,0.191667,-0.021445,0.024419,-0.627831,0.777671,0.117418,1.240874,0.047107,0.010962,-0.024158,0.727246,-0.685864,-0.169527,1.185054,0.048723,-0.02426,-0.041782,0.594007,-0.803008,0.00435,1.195883,0.968472,jog
47,0.195833,-0.021508,0.024419,-0.62786,0.777646,0.117424,1.240886,0.047114,0.010944,-0.024092,0.727211,-0.685904,-0.169545,1.185065,0.048725,-0.024603,-0.041957,0.594176,-0.802863,0.004568,1.195802,0.968523,jog
48,0.2,-0.020894,0.024297,-0.627887,0.777645,0.117462,1.240905,0.047123,0.010833,-0.02395,0.727216,-0.685905,-0.169556,1.18507,0.04873,-0.025248,-0.042156,0.594384,-0.802679,0.004803,1.195711,0.968657,jog
49,0.204167,-0.020714,0.024277,-0.627914,0.777628,0.117478,1.240919,0.047132,0.010734,-0.023841,0.727216,-0.68591,-0.169575,1.185074,0.048731,-0.025106,-0.042949,0.594667,-0.802432,0.005234,1.195417,0.968524,jog
50,0.208333,-0.020833,0.024338,-0.627968,0.777579,0.117479,1.240929,0.047132,0.010605,-0.023612,0.727256,-0.685878,-0.16957,1.185065,0.048743,-0.025412,-0.0431,0.59486,-0.802271,0.005482,1.195311,0.968556,jog
51,0.2125,-0.021674,0.024503,-0.628005,0.777521,0.117449,1.240916,0.047134,0.010549,-0.023509,0.727224,-0.685916,-0.169604,1.185078,0.048736,-0.0259,-0.043142,0.595075,-0.802093,0.005732,1.195203,0.9686,jog
52,0.216667,-0.021997,0.024566,-0.628032,0.777489,0.117439,1.240915,0.047135,0.010523,-0.023472,0.727185,-0.68596,-0.169619,1.185084,0.048736,-0.026313,-0.043187,0.595293,-0.801916,0.005986,1.195107,0.968655,jog
53,0.220833,-0.021927,0.024522,-0.628041,0.777484,0.117442,1.240919,0.047139,0.010495,-0.023378,0.727123,-0.686028,-0.169651,1.185096,0.048727,-0.026778,-0.04322,0.595479,-0.80176,0.006203,1.195031,0.968702,jog
54,0.225,-0.021867,0.024513,-0.628066,0.777467,0.117449,1.240926,0.047137,0.010337,-0.023195,0.727176,-0.685982,-0.169659,1.185089,0.04874,-0.027096,-0.043379,0.595651,-0.801614,0.00645,1.194939,0.968753,jog
55,0.229167,-0.021943,0.024564,-0.628072,0.777458,0.11745,1.240935,0.047139,0.010215,-0.023058,0.727178,-0.685986,-0.16967,1.185093,0.048741,-0.027701,-0.043616,0.595816,-0.801457,0.006708,1.194834,0.96886,jog
56,0.233333,-0.021869,0.024541,-0.628142,0.777404,0.117455,1.240933,0.047147,0.01013,-0.022929,0.727143,-0.686028,-0.169688,1.185098,0.04875,-0.027936,-0.043914,0.595952,-0.801332,0.006941,1.194729,0.968866,jog
57,0.2375,-0.021813,0.024563,-0.628181,0.777374,0.117461,1.240937,0.047151,0.010052,-0.02288,0.727177,-0.685995,-0.1697,1.185101,0.048749,-0.028321,-0.044213,0.596095,-0.801195,0.007173,1.194625,0.968909,jog
58,0.241667,-0.021847,0.024512,-0.628189,0.777367,0.11746,1.240941,0.047155,0.010115,-0.022781,0.72709,-0.686089,-0.169727,1.185107,0.048743,-0.028304,-0.044416,0.596306,-0.801028,0.007475,1.194523,0.968948,jog
59,0.245833,-0.021958,0.024583,-0.628216,0.777341,0.117452,1.240945,0.047161,0.009899,-0.022607,0.727125,-0.686062,-0.169739,1.185107,0.048753,-0.027804,-0.04489,0.596143,-0.80114,0.007743,1.194366,0.968921,jog
60,0.25,-0.021835,0.024517,-0.628269,0.777303,0.11746,1.240945,0.047165,0.009819,-0.02252,0.727133,-0.686057,-0.169757,1.185116,0.048757,-0.027027,-0.045551,0.59646,-0.800893,0.008151,1.194122,0.968872,jog
61,0.254167,-0.022038,0.024559,-0.628236,0.777323,0.11745,1.240959,0.047161,0.009784,-0.022414,0.727065,-0.686133,-0.169783,1.185123,0.048759,-0.027657,-0.045363,0.596973,-0.8005,0.008348,1.194126,0.969094,jog
62,0.258333,-0.022127,0.024584,-0.628258,0.777302,0.117458,1.240965,0.047164,0.009687,-0.022288,0.727066,-0.686138,-0.169799,1.18513,0.048762,-0.029644,-0.044781,0.597554,-0.800028,0.008533,1.19414,0.969328,jog
63,0.2625,-0.021982,0.024545,-0.628324,0.777253,0.117461,1.240968,0.047176,0.009598,-0.022236,0.727039,-0.686169,-0.169818,1.185134,0.048754,-0.02874,-0.045616,0.597415,-0.800118,0.008862,1.19392,0.969224,jog
64,0.266667,-0.021979,0.024535,-0.628345,0.777237,0.117461,1.240975,0.047176,0.009489,-0.022131,0.727066,-0.686145,-0.169828,1.185132,0.048762,-0.028465,-0.046632,0.59734,-0.800125,0.00922,1.193703,0.969027,jog
65,0.270833,-0.021982,0.024541,-0.62836,0.777225,0.11746,1.240983,0.047171,0.00938,-0.021963,0.727072,-0.686146,-0.169835,1.185131,0.048774,-0.029,-0.046915,0.597361,-0.800073,0.00952,1.193593,0.968999,jog
66,0.275,-0.021972,0.024582,-0.628397,0.777194,0.117463,1.240987,0.047174,0.010032,-0.023523,0.726267,-0.686937,-0.169571,1.185201,0.048684,-0.029041,-0.047303,0.597297,-0.800097,0.009846,1.193432,0.968979,jog
