 ,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.026799,-0.002048,0.015925,0.999512,-1.412657,0.194125,0.023372,-0.031011,0.006979,-0.109291,0.993501,-1.423169,-0.130084,0.021083,0.012531,0.015882,-0.004379,-0.999786,-1.421858,0.038321,0.946504,stand
1,0.004167,-0.026946,-0.002023,0.015876,0.999509,-1.412662,0.194129,0.023371,-0.031012,0.007009,-0.109301,0.9935,-1.423174,-0.130088,0.021091,0.012533,0.01586,-0.004337,-0.999786,-1.421874,0.038302,0.946529,stand
2,0.008333,-0.026917,-0.00199,0.015867,0.99951,-1.412661,0.194132,0.023373,-0.030937,0.006998,-0.109297,0.993503,-1.423179,-0.130081,0.021091,0.012523,0.015854,-0.004247,-0.999787,-1.421894,0.038285,0.946552,stand
3,0.0125,-0.026775,-0.001971,0.015755,0.999515,-1.412677,0.194135,0.023364,-0.030985,0.006994,-0.109265,0.993505,-1.423175,-0.130075,0.0211,0.01254,0.015838,-0.004208,-0.999787,-1.421908,0.038257,0.946563,stand
4,0.016667,-0.026949,-0.001985,0.015783,0.99951,-1.412666,0.194143,0.023371,-0.030939,0.006935,-0.109319,0.993501,-1.423175,-0.130061,0.021094,0.012598,0.015889,-0.004186,-0.999786,-1.421927,0.038236,0.946565,stand
5,0.020833,-0.027055,-0.002001,0.015791,0.999507,-1.412676,0.19415,0.023373,-0.030921,0.006961,-0.109281,0.993505,-1.423171,-0.13006,0.021099,0.01266,0.015959,-0.004191,-0.999784,-1.421953,0.038208,0.946566,stand
6,0.025,-0.027127,-0.002007,0.015748,0.999506,-1.412685,0.194155,0.023366,-0.030912,0.006966,-0.109264,0.993508,-1.423168,-0.13006,0.021101,0.012681,0.016008,-0.004158,-0.999783,-1.421977,0.038173,0.946571,stand
7,0.029167,-0.027144,-0.002032,0.015656,0.999507,-1.412687,0.194163,0.023365,-0.03088,0.006969,-0.109253,0.99351,-1.42317,-0.130057,0.021107,0.011843,0.015326,-0.003189,-0.999807,-1.421793,0.038408,0.94676,stand
8,0.033333,-0.027236,-0.002063,0.015723,0.999503,-1.412688,0.19417,0.023374,-0.030851,0.006944,-0.109232,0.993513,-1.42317,-0.130049,0.021111,0.011832,0.015234,-0.003223,-0.999809,-1.42182,0.038379,0.946793,stand
9,0.0375,-0.02725,-0.00205,0.015674,0.999504,-1.41269,0.194175,0.023362,-0.030795,0.006922,-0.109226,0.993516,-1.423164,-0.13005,0.021117,0.011791,0.015108,-0.003195,-0.999811,-1.421859,0.038358,0.946841,stand
10,0.041667,-0.027308,-0.002107,0.015661,0.999502,-1.412691,0.194189,0.023369,-0.030825,0.006971,-0.109208,0.993516,-1.42317,-0.130061,0.021114,0.01169,0.015034,-0.00322,-0.999813,-1.421941,0.03832,0.946892,stand
11,0.045833,-0.0274,-0.002118,0.015583,0.999501,-1.412703,0.194197,0.023376,-0.030769,0.006918,-0.10921,0.993518,-1.423172,-0.130057,0.021117,0.011681,0.014898,-0.003154,-0.999816,-1.421993,0.038286,0.946947,stand
