Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.008383,-0.045337,0.949203,0.31127,1.712777,-1.340055,0.006919,-0.010176,-0.034938,0.927197,0.372803,1.876374,-1.101246,0.014664,0.02137,0.029852,-0.927648,-0.371648,1.778765,-1.266053,0.934832,stand
1,0.004167,-0.008311,-0.045272,0.949205,0.311275,1.71278,-1.340044,0.006926,-0.010206,-0.034964,0.927197,0.372798,1.87637,-1.101246,0.014661,0.021339,0.029988,-0.927658,-0.371614,1.778825,-1.2658,0.934791,stand
2,0.008333,-0.008329,-0.045133,0.949213,0.31127,1.71279,-1.340037,0.006927,-0.010255,-0.034987,0.927206,0.372773,1.876368,-1.101243,0.014658,0.021338,0.030084,-0.927679,-0.371552,1.778893,-1.265544,0.934746,stand
3,0.0125,-0.008289,-0.045056,0.949202,0.311314,1.712804,-1.34003,0.006924,-0.010253,-0.03502,0.927198,0.37279,1.876364,-1.101245,0.014656,0.021433,0.030225,-0.927708,-0.371464,1.778957,-1.265284,0.934693,stand
4,0.016667,-0.008221,-0.044896,0.949227,0.311265,1.712809,-1.340026,0.006924,-0.010335,-0.035101,0.927206,0.37276,1.87636,-1.101246,0.014655,0.021125,0.030285,-0.927799,-0.371249,1.779087,-1.265027,0.934726,stand
5,0.020833,-0.008236,-0.044782,0.949242,0.311234,1.712816,-1.340014,0.006923,-0.010386,-0.035121,0.927202,0.372768,1.876364,-1.101246,0.014648,0.021347,0.030354,-0.927905,-0.370964,1.779175,-1.264721,0.934702,stand
6,0.025,-0.008164,-0.04468,0.949261,0.311193,1.712819,-1.340008,0.006919,-0.010436,-0.035214,0.927205,0.372749,1.876354,-1.101248,0.014654,0.021366,0.030415,-0.927921,-0.370919,1.779237,-1.264476,0.934709,stand
7,0.029167,-0.008182,-0.044642,0.949255,0.311215,1.71283,-1.340011,0.006922,-0.010453,-0.035188,0.927208,0.372743,1.876354,-1.101254,0.014644,0.021248,0.030357,-0.927928,-0.370913,1.779317,-1.264253,0.934756,stand
8,0.033333,-0.008207,-0.044563,0.949256,0.311224,1.712828,-1.340004,0.006932,-0.01043,-0.035152,0.927202,0.372763,1.876349,-1.101251,0.014645,0.02118,0.030372,-0.927931,-0.370908,1.779386,-1.264035,0.934802,stand
9,0.0375,-0.008086,-0.044416,0.949283,0.311164,1.71284,-1.339993,0.006922,-0.010475,-0.035208,0.927196,0.372772,1.876347,-1.101247,0.014647,0.021096,0.030383,-0.927982,-0.370785,1.779516,-1.263756,0.934819,stand
10,0.041667,-0.008059,-0.044211,0.949295,0.31116,1.712849,-1.339994,0.006918,-0.010494,-0.035196,0.9272,0.372762,1.876347,-1.101256,0.014636,0.021402,0.030394,-0.928061,-0.370568,1.779595,-1.263437,0.934812,stand
11,0.045833,-0.008054,-0.044152,0.94931,0.311122,1.71286,-1.339986,0.006919,-0.010519,-0.035249,0.927196,0.372767,1.876347,-1.101256,0.014636,0.021504,0.030414,-0.928071,-0.370535,1.779644,-1.263181,0.934805,stand
12,0.05,-0.007976,-0.044043,0.949322,0.311103,1.712871,-1.339976,0.006921,-0.010461,-0.035187,0.927194,0.372778,1.876339,-1.101255,0.014644,0.021634,0.030414,-0.928051,-0.370578,1.779718,-1.262935,0.934787,stand
13,0.054167,-0.007945,-0.044041,0.949337,0.311056,1.71288,-1.339978,0.006919,-0.010512,-0.035196,0.927192,0.37278,1.876339,-1.101252,0.014636,0.021686,0.030414,-0.928045,-0.370591,1.779777,-1.262686,0.934782,stand
14,0.058333,-0.007978,-0.044075,0.949342,0.311037,1.712879,-1.339976,0.006928,-0.010513,-0.035222,0.927181,0.372806,1.876337,-1.101257,0.014636,0.021671,0.030471,-0.928101,-0.370446,1.779863,-1.262396,0.934757,stand
15,0.0625,-0.007939,-0.043866,0.949356,0.311024,1.712888,-1.339969,0.006918,-0.010475,-0.035182,0.927179,0.372816,1.87634,-1.101251,0.014638,0.022023,0.030578,-0.928194,-0.370184,1.779902,-1.262069,0.93471,walk
16,0.066667,-0.00788,-0.043822,0.949385,0.310945,1.712894,-1.33997,0.006919,-0.010437,-0.03516,0.92718,0.372817,1.876337,-1.101252,0.014639,0.021853,0.03048,-0.928192,-0.370206,1.779933,-1.261802,0.934741,walk
17,0.070833,-0.007901,-0.043855,0.949386,0.310937,1.712892,-1.339969,0.006937,-0.010411,-0.03513,0.92718,0.372821,1.876341,-1.101249,0.014639,0.021746,0.030438,-0.928206,-0.370182,1.77996,-1.261545,0.934739,walk
18,0.075,-0.007861,-0.043684,0.949396,0.31093,1.7129,-1.339966,0.006926,-0.010432,-0.035144,0.927189,0.372797,1.876344,-1.10125,0.01464,0.021909,0.030388,-0.928214,-0.370156,1.77995,-1.261285,0.934721,walk
19,0.079167,-0.007921,-0.043599,0.949396,0.310941,1.712902,-1.339966,0.006926,-0.010401,-0.035079,0.927186,0.372809,1.876347,-1.101249,0.014639,0.021821,0.030459,-0.92835,-0.369813,1.780015,-1.260965,0.934727,walk
20,0.083333,-0.007863,-0.043594,0.949398,0.310936,1.712907,-1.339965,0.006929,-0.010398,-0.035067,0.92719,0.3728,1.876358,-1.101246,0.014642,0.022097,0.030497,-0.928445,-0.369556,1.780034,-1.260674,0.934705,walk
21,0.0875,-0.007817,-0.043551,0.949425,0.310863,1.712917,-1.339958,0.006926,-0.010372,-0.035033,0.927197,0.372788,1.876359,-1.101244,0.014643,0.022012,0.030405,-0.928477,-0.369487,1.780063,-1.260444,0.934714,walk
22,0.091667,-0.007823,-0.043406,0.949451,0.310801,1.712918,-1.339958,0.006927,-0.012105,-0.036217,0.927103,0.372857,1.876486,-1.101311,0.014814,0.021926,0.030332,-0.928518,-0.369397,1.780087,-1.260225,0.934734,walk
23,0.095833,-0.007888,-0.043423,0.949445,0.310817,1.71291,-1.339964,0.006931,-0.011853,-0.035996,0.927097,0.3729,1.876479,-1.10132,0.014788,0.02212,0.030262,-0.92856,-0.369286,1.780094,-1.259987,0.934716,walk
24,0.1,-0.007863,-0.043437,0.949454,0.310788,1.712913,-1.339961,0.006933,-0.011816,-0.035921,0.927086,0.372935,1.876481,-1.101324,0.014799,0.022286,0.030326,-0.9286,-0.36917,1.780106,-1.259774,0.934698,walk
25,0.104167,-0.007831,-0.043411,0.949465,0.310758,1.712911,-1.339963,0.006938,-0.012151,-0.036103,0.927076,0.372932,1.87649,-1.10132,0.014836,0.02262,0.030266,-0.928747,-0.368785,1.780141,-1.259476,0.934692,walk
26,0.108333,-0.007868,-0.043432,0.949468,0.310746,1.712919,-1.339968,0.006944,-0.011565,-0.035688,0.927084,0.372973,1.876449,-1.101295,0.014782,0.022848,0.030246,-0.928788,-0.368668,1.780172,-1.259251,0.934663,walk
27,0.1125,-0.007815,-0.043247,0.94949,0.310706,1.712921,-1.339962,0.006936,-0.009359,-0.034152,0.927192,0.372908,1.87635,-1.101221,0.014581,0.022968,0.030238,-0.928829,-0.368557,1.780195,-1.259046,0.934657,walk
