Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.042156,0.007273,0.157974,-0.986516,-0.943932,1.267886,0.048257,0.055364,-0.023777,0.446149,-0.892928,-1.050174,1.02722,0.045847,-0.020511,-0.042986,0.185531,-0.981484,-1.003123,1.08332,0.953878,jog
1,0.008333,-0.041942,0.007184,0.158096,-0.986506,-0.943995,1.267908,0.048204,0.055156,-0.023765,0.446089,-0.892971,-1.05017,1.027213,0.045866,-0.020131,-0.043036,0.18561,-0.981474,-1.003462,1.082605,0.953836,jog
2,0.016667,-0.042091,0.007215,0.158262,-0.986473,-0.943995,1.267919,0.048207,0.05469,-0.023649,0.44603,-0.893032,-1.050154,1.027203,0.045893,-0.020392,-0.043453,0.185608,-0.981451,-1.003787,1.081819,0.953762,jog
3,0.025,-0.041894,0.007278,0.158602,-0.986427,-0.943961,1.267984,0.048228,0.054139,-0.023592,0.445965,-0.8931,-1.050146,1.027178,0.045917,-0.0195,-0.045095,0.185418,-0.981431,-1.004142,1.080868,0.953565,jog
4,0.033333,-0.041654,0.007114,0.158629,-0.986434,-0.943993,1.268023,0.048205,0.054505,-0.02394,0.445802,-0.89315,-1.050188,1.027146,0.045997,-0.01755,-0.045057,0.185976,-0.981364,-1.004321,1.079917,0.95351,jog
5,0.041667,-0.041694,0.007022,0.158757,-0.986412,-0.944002,1.268057,0.048233,0.054102,-0.023951,0.445724,-0.893213,-1.050184,1.027124,0.046043,-0.017536,-0.046964,0.18587,-0.981295,-1.004522,1.078749,0.95351,jog
6,0.05,-0.041498,0.006954,0.158841,-0.986407,-0.944006,1.268087,0.048257,0.053607,-0.023934,0.445703,-0.893254,-1.050186,1.027103,0.046093,-0.017183,-0.046789,0.186092,-0.981267,-1.004813,1.077865,0.953418,jog
7,0.058333,-0.041411,0.006862,0.158922,-0.986398,-0.944013,1.26813,0.048265,0.052964,-0.02375,0.445663,-0.893317,-1.050206,1.027085,0.046137,-0.017087,-0.047163,0.18611,-0.981248,-1.005093,1.076932,0.953368,jog
8,0.066667,-0.041148,0.006788,0.159058,-0.986388,-0.944024,1.268163,0.048277,0.052463,-0.023548,0.445579,-0.893394,-1.050229,1.027076,0.046195,-0.017279,-0.048055,0.185839,-0.981252,-1.005362,1.075866,0.953416,jog
9,0.075,-0.041046,0.006782,0.159162,-0.986376,-0.944027,1.268182,0.048283,0.051709,-0.023215,0.445536,-0.893468,-1.050257,1.027076,0.046243,-0.017074,-0.048152,0.185722,-0.981273,-1.005658,1.0749,0.953423,jog
10,0.083333,-0.041628,0.006488,0.158789,-0.986413,-0.943991,1.268247,0.048248,0.051217,-0.022988,0.445431,-0.893554,-1.050297,1.027091,0.046288,-0.017785,-0.048423,0.185831,-0.981227,-1.005943,1.073866,0.953406,jog
11,0.091667,-0.041535,0.006471,0.158882,-0.986402,-0.944003,1.268274,0.048247,0.05163,-0.023069,0.444956,-0.893765,-1.050357,1.027199,0.046253,-0.018186,-0.048747,0.185478,-0.98127,-1.006222,1.072809,0.953425,jog
12,0.1,-0.041391,0.006521,0.15897,-0.986394,-0.944012,1.268286,0.048258,0.05124,-0.022766,0.444776,-0.893885,-1.05041,1.027207,0.046276,-0.018562,-0.049554,0.185165,-0.981282,-1.006239,1.071665,0.953277,jog
13,0.108333,-0.041356,0.006474,0.159025,-0.986387,-0.94403,1.268302,0.048272,0.050745,-0.022405,0.444649,-0.893986,-1.050455,1.027217,0.046296,-0.018953,-0.04985,0.185068,-0.981278,-1.006511,1.07051,0.95325,jog
14,0.116667,-0.041275,0.006363,0.159066,-0.986384,-0.944049,1.268306,0.048297,0.050702,-0.022303,0.44437,-0.89413,-1.050479,1.027256,0.046272,-0.018969,-0.0504,0.184977,-0.981266,-1.006758,1.069299,0.953199,jog
15,0.125,-0.041488,0.006446,0.15907,-0.986374,-0.944062,1.268342,0.048303,0.050588,-0.022001,0.444122,-0.894266,-1.050524,1.027272,0.046279,-0.018527,-0.050518,0.184748,-0.981312,-1.007049,1.068091,0.953183,jog
16,0.133333,-0.041461,0.00644,0.159171,-0.986359,-0.94409,1.26833,0.048322,0.050315,-0.021623,0.443876,-0.894413,-1.050587,1.027309,0.04631,-0.018912,-0.051243,0.184654,-0.981285,-1.007282,1.066725,0.953153,jog
17,0.141667,-0.041304,0.006754,0.159314,-0.98634,-0.944074,1.268309,0.048323,0.050159,-0.021003,0.443603,-0.894572,-1.050627,1.027361,0.046323,-0.018916,-0.051204,0.184278,-0.981357,-1.007528,1.065421,0.953033,jog
18,0.15,-0.041544,0.006772,0.159433,-0.986311,-0.94409,1.268309,0.048341,0.049909,-0.020407,0.443291,-0.894755,-1.050663,1.027413,0.046349,-0.019465,-0.051867,0.184021,-0.98136,-1.007736,1.063991,0.952998,jog
19,0.158333,-0.041674,0.006644,0.15943,-0.986307,-0.944094,1.268288,0.048372,0.049756,-0.019941,0.44299,-0.894922,-1.050687,1.027467,0.046377,-0.020013,-0.050666,0.183363,-0.981535,-1.007729,1.062355,0.952604,jog
20,0.166667,-0.042,0.006278,0.15958,-0.986271,-0.944111,1.268315,0.048456,0.049832,-0.01965,0.442682,-0.895078,-1.050694,1.02752,0.046389,-0.020215,-0.051139,0.183194,-0.981538,-1.007919,1.06089,0.952613,jog
21,0.175,-0.042114,0.006095,0.159681,-0.986251,-0.944134,1.268298,0.048505,0.050396,-0.019203,0.442711,-0.895041,-1.050693,1.027562,0.046456,-0.020514,-0.050574,0.183105,-0.981577,-1.008052,1.059391,0.952441,jog
22,0.183333,-0.042333,0.005976,0.159669,-0.986244,-0.944174,1.268283,0.048569,0.050749,-0.018787,0.442426,-0.895171,-1.050656,1.027628,0.046486,-0.020936,-0.051029,0.183355,-0.981498,-1.00804,1.057717,0.952234,jog
23,0.191667,-0.042785,0.005739,0.159658,-0.986228,-0.944191,1.26825,0.048633,0.051204,-0.018471,0.442036,-0.895344,-1.050647,1.027708,0.046498,-0.020792,-0.050447,0.183364,-0.98153,-1.008065,1.056091,0.952014,jog
