Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.045914,0.004245,0.411087,0.910429,-1.531835,-0.697152,0.018346,-0.06825,-0.000584,-0.052672,0.996277,-1.476356,-0.920981,0.012842,-0.027898,0.000222,-0.269587,-0.962572,-1.491518,-0.856004,0.923572,quasi
1,0.008333,0.043315,0.003425,0.410859,0.910663,-1.531977,-0.696907,0.018568,-0.068389,-0.000617,-0.052627,0.99627,-1.476354,-0.920966,0.012849,-0.027778,0.000767,-0.269212,-0.96268,-1.491681,-0.855668,0.923463,quasi
2,0.016667,0.042402,0.003158,0.411009,0.910639,-1.532009,-0.696827,0.018599,-0.068528,-0.000611,-0.052675,0.996257,-1.476345,-0.92096,0.01284,-0.027432,0.000414,-0.269165,-0.962703,-1.491677,-0.855203,0.923443,quasi
3,0.025,0.042236,0.003358,0.411416,0.910462,-1.532003,-0.696767,0.018594,-0.066811,-0.002454,-0.053478,0.996328,-1.47629,-0.920869,0.012483,-0.026693,3.2e-05,-0.26902,-0.962765,-1.491674,-0.854635,0.923398,quasi
4,0.033333,0.041733,0.003126,0.41147,0.910462,-1.53199,-0.69671,0.018674,-0.067051,-0.00245,-0.053497,0.996311,-1.476274,-0.92086,0.012476,-0.02641,-1.5e-05,-0.269137,-0.96274,-1.491655,-0.854163,0.923359,quasi
5,0.041667,0.041787,0.00333,0.411704,0.910353,-1.531934,-0.696694,0.018694,-0.067088,-0.002482,-0.053505,0.996308,-1.476264,-0.920848,0.012476,-0.026398,0.000442,-0.268927,-0.962799,-1.491658,-0.853672,0.923436,quasi
6,0.05,0.042713,0.004023,0.412057,0.910147,-1.53183,-0.696722,0.018632,-0.067185,-0.002461,-0.053508,0.996302,-1.47626,-0.920843,0.012483,-0.026197,0.000379,-0.268948,-0.962798,-1.49162,-0.853172,0.923459,quasi
7,0.058333,0.04389,0.00419,0.41229,0.909985,-1.531746,-0.696849,0.018547,-0.06702,-0.002472,-0.0535,0.996313,-1.476257,-0.92084,0.012479,-0.02566,6.8e-05,-0.268234,-0.963012,-1.491788,-0.852513,0.923575,quasi
8,0.066667,0.044656,0.004031,0.412209,0.909985,-1.531722,-0.697015,0.018463,-0.067087,-0.002344,-0.053507,0.996309,-1.476247,-0.920829,0.012492,-0.025527,0.000153,-0.268016,-0.963076,-1.49181,-0.852031,0.923513,quasi
9,0.075,0.04543,0.003993,0.412197,0.909953,-1.531718,-0.697134,0.018384,-0.067247,-0.002391,-0.05352,0.996297,-1.476262,-0.920826,0.012486,-0.025184,4e-05,-0.268072,-0.96307,-1.491763,-0.851496,0.923429,quasi
10,0.083333,0.045889,0.003843,0.411941,0.910046,-1.531753,-0.697213,0.018336,-0.067237,-0.002399,-0.05356,0.996296,-1.476243,-0.920829,0.012478,-0.025082,0.000493,-0.268143,-0.963053,-1.491825,-0.850957,0.923374,quasi
11,0.091667,0.046062,0.003827,0.411505,0.910235,-1.531828,-0.697248,0.018304,-0.067487,-0.002447,-0.053519,0.996281,-1.476245,-0.92083,0.012482,-0.024693,0.000164,-0.26794,-0.963119,-1.491874,-0.850269,0.923429,quasi
12,0.1,0.04618,0.003819,0.411275,0.910333,-1.531875,-0.697276,0.018258,-0.067736,-0.002487,-0.053516,0.996264,-1.476241,-0.92082,0.012476,-0.024352,0.000186,-0.267991,-0.963114,-1.491832,-0.849669,0.923389,quasi
13,0.108333,0.046476,0.004365,0.411107,0.910391,-1.531889,-0.697338,0.018159,-0.067706,-0.002498,-0.0536,0.996261,-1.476236,-0.920822,0.012463,-0.024502,0.000211,-0.268013,-0.963104,-1.491827,-0.849137,0.923331,quasi
14,0.116667,0.046678,0.004121,0.410726,0.910554,-1.531953,-0.697365,0.01815,-0.067808,-0.002476,-0.053638,0.996252,-1.47624,-0.920821,0.012455,-0.024442,8e-06,-0.267358,-0.963287,-1.492008,-0.84847,0.92339,quasi
15,0.125,0.04655,0.004217,0.410742,0.910553,-1.531999,-0.697337,0.018134,-0.067977,-0.002513,-0.053662,0.99624,-1.476228,-0.920818,0.012453,-0.024219,0.000291,-0.267767,-0.963179,-1.491928,-0.847729,0.92344,quasi
16,0.133333,0.046554,0.004648,0.410662,0.910587,-1.532029,-0.697308,0.018093,-0.068054,-0.002585,-0.053568,0.996239,-1.476226,-0.920821,0.012449,-0.024145,0.000596,-0.268158,-0.963072,-1.491848,-0.847021,0.923417,quasi
17,0.141667,0.04634,0.004041,0.410421,0.910709,-1.532079,-0.69731,0.018168,-0.068,-0.002536,-0.053678,0.996237,-1.47623,-0.920814,0.012443,-0.023593,0.000377,-0.267859,-0.963169,-1.491883,-0.846238,0.923442,quasi
18,0.15,0.046377,0.00404,0.410458,0.91069,-1.532095,-0.697292,0.018185,-0.068133,-0.002606,-0.053626,0.996231,-1.476222,-0.920803,0.012445,-0.02294,-1e-06,-0.267488,-0.963288,-1.491898,-0.845515,0.923431,quasi
19,0.158333,0.04656,0.004365,0.41052,0.910652,-1.53205,-0.697309,0.018129,-0.068302,-0.002582,-0.053699,0.996215,-1.476218,-0.920801,0.012444,-0.023056,0.00018,-0.267325,-0.96333,-1.491915,-0.844934,0.923256,quasi
20,0.166667,0.046499,0.004152,0.410561,0.910637,-1.532049,-0.697326,0.018136,-0.068296,-0.002588,-0.05377,0.996212,-1.476215,-0.920791,0.012431,-0.022453,0.000183,-0.267156,-0.963392,-1.491976,-0.84415,0.923237,quasi
21,0.175,0.046463,0.004231,0.410713,0.910571,-1.532026,-0.697331,0.018118,-0.068324,-0.002615,-0.053806,0.996208,-1.476213,-0.920779,0.012422,-0.022395,0.00013,-0.267178,-0.963387,-1.491995,-0.843396,0.923225,quasi
22,0.183333,0.046481,0.004542,0.410844,0.910509,-1.531999,-0.697333,0.018075,-0.068388,-0.002685,-0.053752,0.996206,-1.476207,-0.920773,0.012413,-0.022225,0.000613,-0.267505,-0.9633,-1.491945,-0.842573,0.923265,quasi
23,0.191667,0.046327,0.004549,0.410913,0.910485,-1.531996,-0.697334,0.018058,-0.06856,-0.002642,-0.053789,0.996192,-1.4762,-0.920772,0.012428,-0.021868,0.000453,-0.267664,-0.963264,-1.491907,-0.841678,0.923272,quasi
24,0.2,0.043651,0.003089,0.410689,0.910725,-1.532166,-0.697107,0.018348,-0.068676,-0.002631,-0.053892,0.996179,-1.476196,-0.920752,0.012425,-0.021764,0.000535,-0.267668,-0.963265,-1.491932,-0.840902,0.923235,quasi
25,0.208333,0.042595,0.002444,0.410729,0.910759,-1.532211,-0.697034,0.018424,-0.068743,-0.002604,-0.053858,0.996176,-1.476187,-0.920743,0.012429,-0.021495,4.3e-05,-0.267541,-0.963307,-1.491981,-0.840044,0.923139,quasi
26,0.216667,0.042637,0.002929,0.410811,0.910719,-1.53218,-0.697027,0.018352,-0.06879,-0.002589,-0.053898,0.996171,-1.476188,-0.920737,0.012421,-0.021602,-0.000114,-0.267828,-0.963225,-1.491997,-0.83924,0.923022,quasi
27,0.225,0.042649,0.003449,0.410929,0.910663,-1.532144,-0.696994,0.0183,-0.068691,-0.002058,-0.053911,0.996178,-1.476104,-0.920772,0.012484,-0.021497,-0.000169,-0.268404,-0.963067,-1.491953,-0.838278,0.923053,quasi
28,0.233333,0.043024,0.003686,0.411027,0.9106,-1.532094,-0.697011,0.018257,-0.069354,-0.001162,-0.053852,0.996137,-1.476001,-0.920771,0.012637,-0.020807,-0.000523,-0.267998,-0.963195,-1.492069,-0.837314,0.923023,quasi
