Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.012442,-0.003493,-0.678067,0.734887,1.427358,0.344962,0.718516,-0.006046,0.001766,0.991653,-0.128784,1.20241,0.35764,0.709886,-0.035231,0.048021,-0.854802,0.515525,1.406191,0.369088,1.593936,stair_decsent
1,0.008333,0.012361,-0.003327,-0.678077,0.734879,1.427374,0.344965,0.718531,-0.006208,0.002063,0.991665,-0.128674,1.202395,0.357664,0.709861,-0.035921,0.047804,-0.854453,0.516076,1.406532,0.368834,1.593973,stair_decsent
2,0.016667,0.012351,-0.003376,-0.678102,0.734856,1.427378,0.344963,0.718518,-0.006354,0.00233,0.99167,-0.128625,1.202378,0.357672,0.709826,-0.03692,0.04763,-0.854026,0.516728,1.406818,0.368545,1.593987,stair_decsent
3,0.025,0.012382,-0.003315,-0.678063,0.734892,1.427394,0.344946,0.718511,-0.006421,0.002595,0.991682,-0.128523,1.202372,0.357681,0.709794,-0.037791,0.047366,-0.853685,0.517252,1.407069,0.368233,1.593978,stair_decsent
4,0.033333,0.01228,-0.0034,-0.678058,0.734897,1.427418,0.344928,0.718497,-0.006646,0.003115,0.991688,-0.128457,1.202381,0.357644,0.709798,-0.038216,0.047381,-0.85336,0.517755,1.407281,0.367921,1.593996,stair_decsent
5,0.041667,0.012468,-0.003458,-0.678096,0.73486,1.427439,0.344932,0.718468,-0.007776,0.004773,0.991742,-0.127922,1.202467,0.3576,0.709632,-0.038467,0.047604,-0.853062,0.518207,1.407475,0.367537,1.594054,stair_decsent
6,0.05,0.01262,-0.003428,-0.678099,0.734854,1.427473,0.344936,0.718452,-0.006961,0.00368,0.991732,-0.128085,1.202385,0.357635,0.709741,-0.03884,0.047474,-0.852736,0.518729,1.407615,0.367161,1.593971,stair_decsent
7,0.058333,0.012653,-0.003409,-0.678154,0.734803,1.42752,0.344923,0.718432,-0.007105,0.00399,0.991749,-0.127939,1.202378,0.357644,0.709721,-0.0395,0.047231,-0.852367,0.519307,1.407735,0.36672,1.593871,stair_decsent
8,0.066667,0.01295,-0.003585,-0.678198,0.734756,1.427563,0.344916,0.718391,-0.008293,0.005786,0.991805,-0.127356,1.202494,0.357621,0.709536,-0.039984,0.046931,-0.852038,0.519837,1.407838,0.366273,1.593776,stair_decsent
9,0.075,0.013059,-0.003591,-0.678266,0.734691,1.427608,0.344894,0.71837,-0.007147,0.004942,0.991788,-0.127597,1.202412,0.357621,0.709661,-0.039918,0.046929,-0.851733,0.520341,1.407938,0.365789,1.593818,stair_decsent
