Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.028904,0.021802,0.838686,0.543411,1.225699,-0.968557,0.021049,-0.016398,-0.001727,-0.555363,-0.831445,1.495499,-0.850451,0.019388,0.03646,-0.005741,-0.718424,-0.694626,1.418545,-0.92679,0.92626,stair_acsent
1,0.008333,0.028654,0.021857,0.838962,0.542996,1.225729,-0.968561,0.021048,-0.016553,-0.00166,-0.555348,-0.831451,1.495486,-0.850447,0.01939,0.035422,-0.005427,-0.719006,-0.694079,1.419542,-0.926596,0.926131,stair_acsent
2,0.016667,0.028322,0.022016,0.839233,0.542588,1.225756,-0.968577,0.021062,-0.017899,-0.002212,-0.554784,-0.831799,1.49531,-0.850479,0.019276,0.034893,-0.004957,-0.719498,-0.6936,1.420128,-0.926244,0.926191,stair_acsent
3,0.025,0.027858,0.02219,0.839586,0.542058,1.225789,-0.968576,0.021087,-0.016115,-0.00164,-0.555556,-0.831321,1.495499,-0.850478,0.019419,0.034861,-0.0053,-0.719849,-0.693234,1.421008,-0.925901,0.926208,stair_acsent
4,0.033333,0.027428,0.02238,0.839913,0.541566,1.225803,-0.968574,0.021111,-0.017085,-0.00225,-0.555163,-0.831563,1.495363,-0.850497,0.019321,0.034118,-0.00516,-0.720602,-0.69249,1.421685,-0.925517,0.926302,stair_acsent
5,0.041667,0.026904,0.022721,0.840236,0.541076,1.225807,-0.968557,0.021146,-0.017393,-0.002604,-0.555063,-0.831623,1.495306,-0.850514,0.019288,0.033523,-0.005251,-0.72082,-0.692291,1.422638,-0.925345,0.92624,stair_acsent
6,0.05,0.026185,0.02277,0.840489,0.540717,1.225811,-0.968501,0.021196,-0.015466,-0.001937,-0.555797,-0.831172,1.495484,-0.850507,0.019429,0.03378,-0.005055,-0.721675,-0.691389,1.423184,-0.924863,0.926468,stair_acsent
7,0.058333,0.026019,0.023332,0.840607,0.540517,1.225756,-0.968396,0.021219,-0.016292,-0.002519,-0.555418,-0.831408,1.495336,-0.850535,0.019333,0.033278,-0.005706,-0.721856,-0.69122,1.42432,-0.92468,0.926439,stair_acsent
8,0.066667,0.025609,0.025038,0.840894,0.540013,1.225748,-0.968319,0.02133,-0.014543,-0.002134,-0.556033,-0.83103,1.49548,-0.850538,0.01943,0.032122,-0.005096,-0.722291,-0.690824,1.425115,-0.924537,0.926381,stair_acsent
9,0.075,0.024972,0.027086,0.84129,0.539327,1.225735,-0.968224,0.021472,-0.015088,-0.002614,-0.555784,-0.831186,1.495365,-0.850566,0.019354,0.032008,-0.005142,-0.722639,-0.690466,1.425893,-0.924254,0.926508,stair_acsent
