Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.007098,-0.015543,-0.867808,-0.496605,-0.606426,1.091314,0.04775,0.061439,0.05485,-0.683017,-0.725744,-0.268749,1.201917,0.050748,-0.002388,-0.002311,0.798256,0.602309,-0.475366,1.161236,0.953007,stand
1,0.008333,-0.007234,-0.015894,-0.867839,-0.496539,-0.606408,1.091326,0.047742,0.061453,0.054801,-0.682975,-0.725786,-0.26876,1.201927,0.050736,-0.002329,-0.002435,0.79834,0.602198,-0.475265,1.161527,0.953045,stand
2,0.016667,-0.007297,-0.01608,-0.867859,-0.496498,-0.60639,1.091344,0.047739,0.061566,0.054946,-0.682997,-0.725745,-0.268759,1.201923,0.050726,-0.002124,-0.002377,0.798437,0.60207,-0.475172,1.161836,0.953077,stand
3,0.025,-0.007362,-0.016262,-0.867883,-0.496447,-0.606368,1.091356,0.047746,0.061583,0.055017,-0.682991,-0.725744,-0.268765,1.201929,0.050718,-0.002015,-0.002596,0.798539,0.601934,-0.475093,1.162123,0.953067,stand
4,0.033333,-0.007428,-0.016458,-0.867899,-0.496412,-0.606353,1.091374,0.047749,0.061672,0.055084,-0.68297,-0.725751,-0.268769,1.201922,0.050707,-0.001856,-0.002763,0.798645,0.601794,-0.475,1.162406,0.953052,stand
5,0.041667,-0.007465,-0.016925,-0.867883,-0.496424,-0.606326,1.091399,0.047737,0.061711,0.055088,-0.682939,-0.725776,-0.268782,1.201932,0.050689,-0.001766,-0.002851,0.798697,0.601723,-0.474912,1.162665,0.953042,stand
6,0.05,-0.007538,-0.017094,-0.867894,-0.496398,-0.606305,1.091414,0.047735,0.061922,0.055309,-0.683131,-0.725561,-0.268796,1.201892,0.050682,-0.001763,-0.002905,0.798719,0.601695,-0.474837,1.162897,0.953061,stand
7,0.058333,-0.007619,-0.017297,-0.867911,-0.49636,-0.606293,1.091426,0.047733,0.061756,0.055249,-0.682999,-0.725704,-0.268791,1.20192,0.05068,-0.00173,-0.002857,0.798749,0.601655,-0.474751,1.163141,0.953044,stand
8,0.066667,-0.007668,-0.017691,-0.867905,-0.496356,-0.606294,1.091443,0.047768,0.061965,0.055532,-0.682982,-0.725681,-0.26878,1.201918,0.050655,-0.001486,-0.00285,0.798812,0.601572,-0.474636,1.16341,0.952969,stand
9,0.075,-0.007818,-0.017656,-0.867923,-0.496324,-0.606272,1.091449,0.047735,0.061947,0.055543,-0.683012,-0.725653,-0.268782,1.201917,0.050638,-0.001434,-0.002849,0.798794,0.601597,-0.474476,1.163703,0.952915,stand
10,0.083333,-0.00792,-0.018059,-0.867904,-0.49634,-0.60627,1.091458,0.047761,0.063099,0.057065,-0.683154,-0.725302,-0.26878,1.201863,0.050515,-0.00114,-0.002967,0.798793,0.601598,-0.474323,1.163924,0.952906,stand
11,0.091667,-0.007929,-0.018149,-0.867921,-0.496307,-0.606258,1.091469,0.047769,0.064337,0.05842,-0.683247,-0.724997,-0.268758,1.201819,0.050389,-0.001044,-0.003016,0.798811,0.601574,-0.474213,1.164131,0.952886,stand
12,0.1,-0.007946,-0.01798,-0.867979,-0.496212,-0.606225,1.091471,0.047742,0.065042,0.059059,-0.683465,-0.724677,-0.26876,1.201753,0.050305,-0.000906,-0.003116,0.798831,0.601547,-0.474087,1.164346,0.952857,stand
