Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.024806,0.003699,-0.995347,-0.093029,-0.342456,0.312204,0.374938,0.009168,-0.033557,0.940034,0.339303,-0.22248,0.515164,0.372995,0.033526,-0.006074,-0.962533,-0.269016,-0.272503,0.401015,1.283988,step_decsent
1,0.008333,-0.024928,0.003731,-0.995348,-0.092992,-0.342453,0.312207,0.374886,0.00899,-0.033889,0.94006,0.339202,-0.222474,0.51517,0.373015,0.033251,-0.006275,-0.962531,-0.269053,-0.273665,0.400596,1.28404,step_decsent
2,0.016667,-0.025008,0.00369,-0.995347,-0.09298,-0.342448,0.312206,0.374855,0.008875,-0.034103,0.940048,0.339218,-0.222479,0.515163,0.373016,0.033734,-0.006494,-0.962541,-0.26895,-0.274606,0.40017,1.284068,step_decsent
3,0.025,-0.025093,0.003676,-0.995337,-0.093065,-0.342448,0.3122,0.374821,0.00884,-0.03429,0.94004,0.339221,-0.222487,0.515163,0.373023,0.033046,-0.006068,-0.962415,-0.269497,-0.275894,0.399765,1.283865,step_decsent
4,0.033333,-0.024969,0.003643,-0.99535,-0.092965,-0.342446,0.312211,0.374827,0.008797,-0.034424,0.940024,0.339252,-0.222487,0.515157,0.373036,0.033075,-0.006088,-0.962314,-0.269854,-0.276905,0.399391,1.283782,step_decsent
5,0.041667,-0.024931,0.003614,-0.995347,-0.092999,-0.342443,0.312215,0.374819,0.008854,-0.034439,0.939987,0.339351,-0.222498,0.515144,0.373037,0.032673,-0.0061,-0.962241,-0.270161,-0.278051,0.398951,1.283745,step_decsent
6,0.05,-0.024973,0.003601,-0.995347,-0.092996,-0.342436,0.312219,0.374791,0.008802,-0.03461,0.939978,0.339361,-0.222498,0.515151,0.373055,0.032238,-0.005862,-0.962061,-0.27086,-0.27918,0.398559,1.283613,step_decsent
7,0.058333,-0.025017,0.003601,-0.995343,-0.093022,-0.342432,0.312227,0.37477,0.00882,-0.034723,0.939969,0.339374,-0.222499,0.515145,0.373069,0.032185,-0.005648,-0.961955,-0.271246,-0.280393,0.398095,1.283556,step_decsent
8,0.066667,-0.024974,0.003581,-0.995347,-0.092999,-0.342432,0.312235,0.374758,0.008707,-0.034803,0.939948,0.339427,-0.222499,0.515137,0.373079,0.032436,-0.005635,-0.96177,-0.271873,-0.281449,0.397724,1.283461,step_decsent
9,0.075,-0.024943,0.003548,-0.995352,-0.092952,-0.342434,0.312243,0.374739,0.008749,-0.034977,0.939938,0.339437,-0.222507,0.515135,0.373093,0.032035,-0.005675,-0.961689,-0.272204,-0.28258,0.39728,1.283481,step_decsent
10,0.083333,-0.02494,0.003554,-0.99535,-0.092967,-0.342436,0.312252,0.374725,0.008498,-0.035202,0.939936,0.339423,-0.222504,0.515136,0.373108,0.032494,-0.005349,-0.961501,-0.272822,-0.283676,0.396926,1.283363,step_decsent
