Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.001717,-0.011653,-0.998196,0.058868,-0.500028,0.023953,0.033384,0.005073,-0.028363,0.873564,0.485857,-0.31005,0.291744,0.032163,-0.002883,0.008626,0.97305,0.230415,-0.386991,0.154244,0.945149,step_acsent
1,0.008333,-0.001793,-0.011447,-0.998198,0.058873,-0.500028,0.023936,0.033379,0.005059,-0.028539,0.873556,0.485859,-0.310054,0.291747,0.032162,-0.00254,0.009594,0.973163,0.229905,-0.387319,0.153757,0.94512,step_acsent
2,0.016667,-0.001815,-0.011315,-0.9982,0.058866,-0.50003,0.023923,0.033381,0.005082,-0.028472,0.873502,0.485961,-0.310062,0.291725,0.032153,-0.003319,0.0083,0.973281,0.229444,-0.387919,0.152934,0.945042,step_acsent
3,0.025,-0.001851,-0.0111,-0.998207,0.05879,-0.500026,0.023909,0.033383,0.00506,-0.028588,0.873489,0.485978,-0.310058,0.291732,0.032149,-0.003483,0.008634,0.973365,0.22907,-0.38829,0.152344,0.945079,step_acsent
4,0.033333,-0.001902,-0.010821,-0.99821,0.05878,-0.500024,0.023894,0.033384,0.004997,-0.028637,0.873465,0.486018,-0.310066,0.291731,0.032147,-0.003733,0.008455,0.973474,0.228613,-0.388776,0.151785,0.945069,step_acsent
5,0.041667,-0.001966,-0.010579,-0.998216,0.05873,-0.500018,0.023884,0.033378,0.005012,-0.028731,0.873445,0.486048,-0.310066,0.291725,0.032143,-0.005313,0.007522,0.973539,0.228335,-0.389215,0.151154,0.94473,step_acsent
6,0.05,-0.002003,-0.010329,-0.998219,0.058714,-0.500014,0.023875,0.033387,0.005051,-0.028953,0.873465,0.485999,-0.310066,0.291732,0.032146,-0.004588,0.00757,0.973735,0.227513,-0.389661,0.150533,0.94473,step_acsent
7,0.058333,-0.001972,-0.010214,-0.998223,0.058681,-0.500005,0.02386,0.033384,0.004983,-0.028942,0.873409,0.4861,-0.310079,0.291713,0.032138,-0.005013,0.008536,0.97392,0.226676,-0.390071,0.149814,0.944821,step_acsent
8,0.066667,-0.002033,-0.010036,-0.998225,0.058662,-0.500005,0.023863,0.033385,0.004949,-0.029233,0.87341,0.486082,-0.310078,0.291706,0.032135,-0.005964,0.008717,0.974029,0.226176,-0.39049,0.149237,0.944677,step_acsent
9,0.075,-0.002046,-0.009756,-0.998226,0.058694,-0.499993,0.023854,0.033389,0.004882,-0.029442,0.873389,0.486109,-0.31008,0.291706,0.03214,-0.00441,0.009583,0.974363,0.224736,-0.390743,0.14856,0.944942,step_acsent
10,0.083333,-0.002102,-0.009605,-0.99823,0.058657,-0.499985,0.023842,0.033386,0.004899,-0.029579,0.873378,0.486119,-0.310077,0.291706,0.03213,-0.006198,0.009523,0.974509,0.224059,-0.391321,0.147786,0.944879,step_acsent
11,0.091667,-0.00214,-0.009412,-0.998233,0.058625,-0.499978,0.023823,0.033378,0.004882,-0.029726,0.873388,0.486093,-0.310071,0.2917,0.032121,-0.008271,0.010134,0.974598,0.22358,-0.391779,0.147267,0.9449,step_acsent
12,0.1,-0.002245,-0.009228,-0.998239,0.058555,-0.499971,0.023814,0.033391,0.004919,-0.02986,0.873368,0.486121,-0.310071,0.291695,0.032127,-0.00663,0.011272,0.974875,0.222369,-0.3921,0.146586,0.944998,step_acsent
