Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.034958,-0.004494,0.157814,0.98684,-1.386358,-0.072497,0.028555,-0.041582,0.005218,-0.166779,0.985103,-1.314496,-0.313283,0.025671,-0.004682,-0.0218,-0.076134,-0.996848,-1.349898,-0.211194,0.937838,walk
1,0.008333,0.034966,-0.004422,0.157878,0.986829,-1.386357,-0.072514,0.028552,-0.040293,0.005161,-0.167245,0.985078,-1.314485,-0.313161,0.02561,-0.004639,-0.02215,-0.076037,-0.996848,-1.349574,-0.211596,0.937816,walk
2,0.016667,0.034952,-0.00434,0.157909,0.986825,-1.386357,-0.07253,0.028553,-0.039417,0.005156,-0.167498,0.985071,-1.314445,-0.313061,0.025556,-0.004667,-0.022113,-0.076362,-0.996824,-1.349203,-0.212069,0.937771,walk
3,0.025,0.035042,-0.004337,0.157957,0.986815,-1.386352,-0.072541,0.028555,-0.038381,0.005147,-0.167741,0.98507,-1.314411,-0.312968,0.025533,-0.00511,-0.022908,-0.07695,-0.996759,-1.348849,-0.212633,0.937812,walk
4,0.033333,0.035125,-0.004235,0.15797,0.98681,-1.386344,-0.072553,0.028558,-0.037123,0.004753,-0.167772,0.985115,-1.314363,-0.312972,0.025404,-0.004996,-0.022938,-0.077252,-0.996735,-1.348453,-0.213143,0.937798,walk
5,0.041667,0.035213,-0.004135,0.157997,0.986803,-1.386333,-0.072555,0.028573,-0.036269,0.004421,-0.167931,0.985121,-1.314312,-0.312918,0.025351,-0.00502,-0.0225,-0.077565,-0.996721,-1.347979,-0.213577,0.937665,walk
6,0.05,0.035218,-0.004107,0.158055,0.986794,-1.386325,-0.072556,0.028568,-0.036047,0.005173,-0.168114,0.985095,-1.314394,-0.312905,0.025426,-0.004883,-0.022872,-0.077749,-0.996699,-1.347599,-0.21408,0.937644,walk
7,0.058333,0.035314,-0.004063,0.158095,0.986784,-1.386312,-0.072566,0.028567,-0.036405,0.005348,-0.168129,0.985078,-1.314382,-0.312884,0.025482,-0.004987,-0.023142,-0.077912,-0.996679,-1.347203,-0.214516,0.937624,walk
8,0.066667,0.035355,-0.004021,0.158168,0.986771,-1.386299,-0.072565,0.028572,-0.036623,0.005492,-0.16814,0.985067,-1.314386,-0.312907,0.02553,-0.005288,-0.023056,-0.07802,-0.996671,-1.34678,-0.215008,0.937491,walk
9,0.075,0.035399,-0.003933,0.158242,0.986758,-1.386283,-0.072564,0.028575,-0.036969,0.005523,-0.168032,0.985073,-1.314395,-0.312957,0.025557,-0.005267,-0.023587,-0.078575,-0.996615,-1.346359,-0.215542,0.93757,walk
10,0.083333,0.035483,-0.003862,0.158287,0.986748,-1.386268,-0.072561,0.028582,-0.037074,0.005442,-0.167739,0.985119,-1.314416,-0.31307,0.025467,-0.005092,-0.024164,-0.078955,-0.996572,-1.345959,-0.216033,0.937636,walk
11,0.091667,0.035499,-0.003852,0.158367,0.986735,-1.38626,-0.072567,0.028573,-0.037716,0.00543,-0.167657,0.985109,-1.314458,-0.313114,0.025529,-0.005189,-0.023494,-0.079458,-0.996548,-1.345265,-0.216547,0.937562,walk
12,0.1,0.035596,-0.003796,0.158456,0.986717,-1.386247,-0.072567,0.028577,-0.038446,0.005554,-0.167553,0.985098,-1.314469,-0.313125,0.025584,-0.005295,-0.023045,-0.079678,-0.99654,-1.344721,-0.217097,0.937382,walk
13,0.108333,0.035675,-0.003751,0.158523,0.986703,-1.386231,-0.072565,0.028591,-0.038956,0.005717,-0.167423,0.985099,-1.314476,-0.313174,0.025618,-0.005755,-0.023411,-0.080471,-0.996465,-1.34426,-0.217449,0.937373,walk
14,0.116667,0.035759,-0.003657,0.158568,0.986694,-1.38622,-0.072574,0.02859,-0.039353,0.005692,-0.167333,0.985098,-1.314481,-0.313222,0.02564,-0.007831,-0.023437,-0.080978,-0.99641,-1.34374,-0.217774,0.936998,walk
15,0.125,0.035877,-0.003567,0.158664,0.986674,-1.386208,-0.07259,0.028588,-0.039641,0.005988,-0.167228,0.985103,-1.314512,-0.313252,0.02564,-0.007832,-0.023987,-0.081223,-0.996377,-1.34324,-0.218327,0.936989,walk
16,0.133333,0.035924,-0.003492,0.158728,0.986662,-1.386205,-0.072597,0.028588,-0.039899,0.006099,-0.167168,0.985102,-1.314524,-0.313285,0.025647,-0.007514,-0.024529,-0.081279,-0.996361,-1.34286,-0.218938,0.937045,walk
17,0.141667,0.035928,-0.003432,0.158824,0.986647,-1.386198,-0.072599,0.028591,-0.039918,0.006106,-0.167109,0.985111,-1.314532,-0.313313,0.025646,-0.007555,-0.024297,-0.081589,-0.996341,-1.342285,-0.219547,0.93692,walk
18,0.15,0.036001,-0.003313,0.158894,0.986634,-1.386178,-0.072602,0.028602,-0.039979,0.006093,-0.167094,0.985111,-1.314536,-0.313327,0.025639,-0.007702,-0.0243,-0.081859,-0.996318,-1.341768,-0.22022,0.936793,walk
19,0.158333,0.036041,-0.003241,0.158966,0.986621,-1.386167,-0.07261,0.028604,-0.039895,0.00619,-0.167047,0.985122,-1.314544,-0.313337,0.025632,-0.007843,-0.024741,-0.081942,-0.996299,-1.341377,-0.220819,0.936757,walk
20,0.166667,0.036099,-0.003162,0.15908,0.9866,-1.386159,-0.072619,0.02861,-0.039736,0.006163,-0.167051,0.985128,-1.314539,-0.313338,0.025624,-0.007601,-0.024927,-0.082244,-0.996271,-1.34086,-0.221454,0.936717,walk
21,0.175,0.036042,-0.003095,0.159163,0.986589,-1.386153,-0.072637,0.028611,-0.03952,0.006191,-0.167109,0.985127,-1.314538,-0.313327,0.025619,-0.006592,-0.025237,-0.082596,-0.996242,-1.340261,-0.222198,0.936804,walk
22,0.183333,0.03612,-0.003002,0.159283,0.986567,-1.386134,-0.07264,0.028623,-0.039178,0.006211,-0.167116,0.985139,-1.314534,-0.313326,0.025604,-0.006605,-0.026168,-0.083103,-0.996175,-1.339794,-0.22285,0.936876,walk
23,0.191667,0.03617,-0.002962,0.159372,0.986552,-1.386125,-0.072644,0.028637,-0.038808,0.00618,-0.167137,0.98515,-1.314533,-0.313313,0.025593,-0.006609,-0.02642,-0.083372,-0.996146,-1.339287,-0.223561,0.936826,walk
24,0.2,0.036181,-0.002868,0.159458,0.986537,-1.386117,-0.072662,0.028637,-0.038564,0.006157,-0.167158,0.985156,-1.314533,-0.313299,0.025571,-0.006766,-0.026553,-0.084036,-0.996086,-1.338737,-0.224197,0.936744,walk
25,0.208333,0.036214,-0.002793,0.159577,0.986517,-1.38611,-0.072671,0.02864,-0.038259,0.006133,-0.167188,0.985163,-1.314533,-0.313287,0.025552,-0.006851,-0.026906,-0.084493,-0.996037,-1.338216,-0.22477,0.936703,walk
26,0.216667,0.03626,-0.00273,0.159687,0.986498,-1.386104,-0.072678,0.028648,-0.037934,0.006056,-0.167157,0.985182,-1.314527,-0.313277,0.025538,-0.006929,-0.027425,-0.085491,-0.995937,-1.337565,-0.225473,0.936673,walk
27,0.225,0.036209,-0.002649,0.159811,0.98648,-1.386101,-0.072681,0.028654,-0.037697,0.006045,-0.167183,0.985187,-1.314532,-0.313264,0.025519,-0.00688,-0.027845,-0.0857,-0.995908,-1.337113,-0.226115,0.936566,walk
