Format Version,1.25,Take Name,stairs_011,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-30 09.58.05.382 PM,Capture Start Frame,612268,Total Frames in Take,645,Total Exported Frames,645,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,Waist,Waist,Waist,Waist,Waist,Waist,Waist
,ID,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6
,Parent,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.019807,-0.002965,-0.810628,-0.585219,1.249663,-0.738700,0.027152,-0.009349,-0.006425,0.587791,0.808933,1.484127,-0.697184,0.023920,-0.012347,0.000472,0.734419,0.678584,1.347634,-0.760680,0.935364
1,0.008333,-0.019876,-0.002743,-0.810611,-0.585241,1.249644,-0.738728,0.027134,-0.009705,-0.006560,0.587810,0.808914,1.484135,-0.697196,0.023918,-0.012567,0.000181,0.734230,0.678784,1.346868,-0.761090,0.935356
2,0.016667,-0.019697,-0.002622,-0.810592,-0.585274,1.249605,-0.738759,0.027139,-0.010039,-0.006745,0.587727,0.808969,1.484132,-0.697202,0.023903,-0.012832,0.000619,0.734255,0.678752,1.346253,-0.761768,0.935422
3,0.025000,-0.019688,-0.002319,-0.810561,-0.585318,1.249580,-0.738781,0.027136,-0.010274,-0.006950,0.587715,0.808973,1.484133,-0.697211,0.023898,-0.013091,0.000050,0.734309,0.678689,1.345279,-0.762177,0.935362
4,0.033333,-0.019567,-0.002027,-0.810569,-0.585313,1.249548,-0.738798,0.027129,-0.010563,-0.007234,0.587669,0.809000,1.484136,-0.697218,0.023904,-0.012350,0.000255,0.733927,0.679116,1.344707,-0.762553,0.935202
