Format Version,1.25,Take Name,stand_026,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-30 09.40.34.290 PM,Capture Start Frame,486138,Total Frames in Take,375,Total Exported Frames,375,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,Waist,Waist,Waist,Waist,Waist,Waist,Waist
,ID,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,83078AC3B5F211F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,9231711FB5F311F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6,3693159B5F511F034C857AE43D8E8B6
,Parent,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.016767,-0.046453,-0.987112,-0.152219,1.433750,0.787346,0.050589,0.016252,0.065226,-0.914393,-0.399209,1.535803,1.120211,0.052950,-0.019384,-0.007388,-0.975849,-0.217459,1.458077,0.957215,0.952240
1,0.008333,-0.017537,-0.046376,-0.987126,-0.152068,1.433715,0.787337,0.050503,0.016299,0.065381,-0.914375,-0.399222,1.535798,1.120206,0.052938,-0.018916,-0.007400,-0.975759,-0.217905,1.457982,0.957253,0.952284
2,0.016667,-0.017618,-0.046045,-0.987138,-0.152079,1.433718,0.787297,0.050488,0.016350,0.065391,-0.914357,-0.399259,1.535793,1.120205,0.052941,-0.018619,-0.007394,-0.975674,-0.218311,1.457884,0.957273,0.952356
3,0.025000,-0.017636,-0.045726,-0.987143,-0.152142,1.433720,0.787262,0.050484,0.016211,0.065332,-0.914344,-0.399304,1.535794,1.120199,0.052934,-0.018388,-0.007335,-0.975570,-0.218794,1.457795,0.957268,0.952400
4,0.033333,-0.017684,-0.045557,-0.987134,-0.152245,1.433713,0.787217,0.050483,0.016293,0.065459,-0.914330,-0.399312,1.535788,1.120199,0.052938,-0.018054,-0.007184,-0.975487,-0.219198,1.457681,0.957324,0.952426
