frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.004167,stand,-1.174043,-0.74039,0.930771,0.00245,-0.000613,0.178158,-0.0021598272138050718,0.01775857931365935,0.0038396928245778743,-0.05468510490867415,0.0517347649745999,-0.07114104283821368,-0.0016798656107728026,0.0014398848092300246,0.0011999040076793369,0.00047996160308555594,0.00023998080154277797,-0.000959923206143636,-0.03643300000000016,0.15210100000000004,-0.922143,0.045819000000000054,-0.13711600000000002,-0.9247340000000001,0.08225200000000021,0.28921700000000006,0.00259100000000001,0.9698951001992653,0.9981671163526967,double,-0.922143
2,0.008333,stand,-1.174003,-0.740318,0.930789,0.002308,-0.000405,0.178096,0.00960153624580893,0.017282765242429422,0.004320691310600693,-0.08486493734982663,0.0861891490524621,-0.030026462539223465,0.00024003840617853526,-0.001440230436884664,-0.0007201152184348369,-0.0012001920307327786,-0.00024003840615188562,0.001440230436869882,-0.03647200000000006,0.15202300000000002,-0.922164,0.04577399999999998,-0.137189,-0.924746,0.08224600000000004,0.289212,0.002581999999999973,0.9714666338681388,0.9968498928332388,double,-0.922164
3,0.0125,stand,-1.173997,-0.740225,0.930789,0.002246,-0.000369,0.177981,0.001439884809203381,0.02231821454283891,0.0,-0.03235997612884572,0.011834100355403053,-0.05608027814343152,0.0009599232061178252,0.0009599232061444684,0.0009599232061432195,0.0007199424046016905,0.0,-0.0016798656107511545,-0.03647400000000012,0.151934,-0.92216,0.045771000000000006,-0.13728200000000002,-0.9247529999999999,0.08224500000000012,0.28921600000000003,0.0025929999999999565,0.9712989403926824,0.9969539344429028,double,-0.92216
4,0.016667,stand,-1.173978,-0.740133,0.930781,0.002197,-0.00037,0.177829,0.0045596352291795645,0.02207823374129613,-0.0019198464122889367,-0.023060401447622125,-0.004489262125462165,-0.0741908010927279,0.00023998080156942112,0.0009599232061444684,0.0004799616030718179,-0.00023998080156942112,-0.001439884809203381,-0.0007199424046075187,-0.03649199999999997,0.15184600000000004,-0.92215,0.045750999999999875,-0.13737999999999995,-0.924748,0.08224299999999984,0.289226,0.002597999999999989,0.9721871163526958,0.9972872850239574,double,-0.92215
5,0.020833,stand,-1.173957,-0.740016,0.930777,0.002161,-0.000299,0.177689,0.005040806529056351,0.028084493518971135,-0.0009601536245808931,-0.023070146723246827,0.03062082819009637,-0.0682051562848227,0.0019203072491617863,0.00048007681230377136,0.00024003840614522328,0.0009601536246075427,-0.00024003840615188568,0.0,-0.03650500000000001,0.15173100000000006,-0.922145,0.04573399999999994,-0.137498,-0.924744,0.08223899999999995,0.28922900000000007,0.002599000000000018,0.9706868187458234,0.9983504938287181,double,-0.922145
6,0.025,stand,-1.173942,-0.739866,0.930759,0.002035,-0.000291,0.177389,0.0035997120230084525,0.0359971202303776,-0.004319654427636786,-0.060208901439869233,-0.006648138451869295,-0.1463971534471915,-0.002159827213858358,-0.00047996160308555583,0.0007199424046075187,0.00047996160308555583,-0.0004799616030589126,-0.0016798656107511545,-0.036529000000000034,0.15157900000000002,-0.922124,0.04572100000000012,-0.13764999999999994,-0.924733,0.08225000000000016,0.28922899999999996,0.0026089999999999725,0.9700321663407001,0.9969803078012671,double,-0.922124
7,0.029167,stand,-1.173918,-0.739752,0.930743,0.002027,-0.000282,0.177234,0.005759539236866815,0.02735781137510405,-0.003839692824577877,-0.004550746973692957,0.0037253211093741458,-0.07559027551549997,0.0,0.0009599232061444692,-0.002399808015358675,-0.0004799616030855562,0.00047996160305891297,0.0004799616030718183,-0.03655300000000006,0.15146899999999996,-0.922118,0.04569500000000004,-0.13776200000000005,-0.924715,0.0822480000000001,0.289231,0.0025969999999999605,0.9697222127772698,0.9986144701963282,double,-0.922118
8,0.033333,stand,-1.173895,-0.739627,0.930736,0.002051,-0.000236,0.177088,0.005520883341360118,0.030004800768106247,-0.0016802688430098993,0.0074199260579923985,0.023921529591926116,-0.0711456452660014,-0.003120499279841263,0.0002400384061518855,0.00024003840614480668,-0.000480076812303771,0.000480076812303771,-0.0012001920307250745,-0.03658899999999998,0.15134500000000006,-0.92211,0.04566999999999988,-0.13788499999999992,-0.924713,0.08225899999999986,0.28923,0.002603000000000022,0.9687384842252984,0.9977018072305255,double,-0.92211
9,0.0375,stand,-1.173868,-0.739514,0.930733,0.002037,-0.000216,0.176937,0.006479481641468506,0.027117830573561274,-0.0007199424046016911,-0.008322630873599978,0.008409262975163322,-0.07360537032492591,0.0026397888168906295,-0.0004799616030855562,0.0011999040076793375,0.00023998080156942131,-0.0007199424046283343,0.0,-0.036605,0.15122999999999998,-0.922102,0.04564400000000002,-0.13800100000000004,-0.92471,0.08224900000000002,0.289231,0.0026080000000000547,0.9690214124014438,0.9987351901206726,double,-0.922102
10,0.041667,stand,-1.173838,-0.73938,0.930739,0.002003,-6e-05,0.176756,0.007199424046070185,0.0321574274057997,0.0014398848092033799,-0.029322659027664243,0.07098547926536995,-0.08815563337851982,-0.0016798656107728006,0.0011999040076872453,-0.0004799616030718175,0.00023998080151613449,-0.00023998080151613449,-0.00023998080153590876,-0.03664200000000006,0.15110100000000004,-0.92211,0.04561499999999996,-0.13813599999999993,-0.924717,0.08225700000000002,0.28923699999999997,0.002607000000000026,0.970397578247173,0.9993072350982026,double,-0.92211
11,0.045833,stand,-1.173819,-0.739265,0.930729,0.001964,4.3e-05,0.1766,0.004560729716752584,0.027604416706694036,-0.00240038406143891,-0.027190795067609384,0.04551064233163679,-0.07599067456835672,-0.0007201152184290081,-0.0002400384061518859,-0.00048007681229003056,0.0014402304368580162,-0.0007201152184556577,-0.0012001920307248683,-0.03666400000000003,0.15098499999999992,-0.922102,0.04560199999999992,-0.1382540000000001,-0.924712,0.08226599999999995,0.289239,0.002610000000000001,0.9724030975409017,0.9966528243457609,double,-0.922102
12,0.05,stand,-1.173808,-0.739153,0.930751,0.002025,8.8e-05,0.176435,0.002639788816890625,0.026877849772018448,0.00527957763378125,0.024972444298972465,0.026584139931974993,-0.08036573102388031,0.0011999040076872453,0.001439884809230023,-0.0004799616030714012,-0.0004799616030855554,0.0002399808015427777,0.000959923206143635,-0.03666999999999998,0.15087899999999999,-0.922126,0.04558899999999988,-0.13836500000000007,-0.9247299999999999,0.08225899999999986,0.28924400000000006,0.0026039999999999397,0.9707353548722645,0.9981671163526967,double,-0.922126
13,0.054167,stand,-1.173795,-0.739046,0.930751,0.001948,0.00015,0.176296,0.003119750419976186,0.025677945764331248,0.0,-0.041657661260455496,0.02290425827822729,-0.0677214803986651,0.0014398848092033823,-0.0011999040076872472,0.002399808015358675,0.0011999040076872472,-0.0023998080153478513,-0.0016798656107511558,-0.03667700000000007,0.15076699999999998,-0.922116,0.04558099999999987,-0.138482,-0.924737,0.08225799999999994,0.289249,0.0026209999999999845,0.9687149749858257,0.9947240596919242,double,-0.922116
14,0.058333,stand,-1.173789,-0.738935,0.930759,0.001923,0.000227,0.176174,0.0014402304368580138,0.02664426308208645,0.0019203072491617847,-0.018360219899502792,0.034383475365154986,-0.05944007908096322,0.0,0.00048007681227712134,0.0,-0.00024003840612523588,-0.0009601536245808924,-0.0007201152184350447,-0.03668300000000002,0.15065799999999996,-0.922124,0.045574,-0.13859699999999997,-0.924748,0.08225700000000002,0.28925499999999993,0.0026239999999999597,0.9729598719795381,0.9979600658050969,double,-0.922124
15,0.0625,stand,-1.173769,-0.738822,0.930759,0.00192,0.000277,0.176028,0.0047996160306957025,0.027117830573561274,0.0,-0.005685104650283046,0.02350093725108812,-0.0711302480388049,0.0023998080153744944,-0.0014398848092033823,0.0016798656107511558,0.0002399808015161349,0.00047996160305891297,0.0011999040076793375,-0.036692999999999865,0.15053899999999998,-0.922117,0.04555500000000001,-0.13870800000000005,-0.924743,0.08224799999999988,0.28924700000000003,0.002626000000000017,0.9682998470087345,0.9978092850271911,double,-0.922117
16,0.066667,stand,-1.17376,-0.738711,0.930767,0.001931,0.000318,0.175888,0.002159827213858356,0.02663786897047567,0.0019198464122889352,0.0016915222968494816,0.02042616107260774,-0.06822112588638554,-0.0016798656107728006,0.0007199424046016899,-0.0011999040076793356,0.0009599232061711108,-0.0021598272138050696,-0.00047996160307160936,-0.0367090000000001,0.15043099999999998,-0.92213,0.04554999999999998,-0.13882799999999995,-0.924753,0.08225900000000008,0.28925899999999993,0.002623000000000042,0.9701261180788716,0.9959803713218542,double,-0.92213
17,0.070833,stand,-1.173755,-0.738546,0.93075,0.001761,0.000404,0.175613,0.0012001920306794825,0.039606337013915305,-0.004080652904475468,-0.08769068966489188,0.026535403992236486,-0.13407894442467483,0.001920307249161791,0.0012001920307327819,-0.0009601536245800627,0.0,-0.0007201152184556588,-0.0007201152184350471,-0.036705999999999905,0.15027100000000004,-0.922117,0.04554500000000017,-0.138996,-0.924739,0.08225100000000007,0.28926700000000005,0.002622000000000013,0.9696805637838126,0.9983026721526722,double,-0.922117
18,0.075,stand,-1.173744,-0.738413,0.930742,0.001696,0.000458,0.175495,0.0026397888169439115,0.03191744660428356,-0.0019198464122889352,-0.03530476609260448,0.020132073639131935,-0.0574669978412368,-0.0016798656107728006,0.0009599232061444676,0.0007199424046075181,0.0,-0.0028797696184067597,0.0014398848092152443,-0.0367240000000002,0.150142,-0.922106,0.04553399999999996,-0.13914099999999996,-0.9247249999999999,0.08225800000000016,0.28928299999999996,0.002618999999999927,0.9703693451455413,0.9946338661447444,double,-0.922106
19,0.079167,stand,-1.173711,-0.738278,0.930737,0.001681,0.000573,0.175326,0.007919366450671875,0.03239740820734248,-0.001199904007660602,-0.0168357945633519,0.05320638333068257,-0.08228453200966789,0.002879769618460046,0.0014398848092033799,0.00191984641228727,-0.0004799616030855554,-0.0009599232061444676,-0.001919846412287062,-0.03674500000000003,0.15001299999999995,-0.922093,0.045498999999999956,-0.13927999999999996,-0.924728,0.08224399999999998,0.2892929999999999,0.002634999999999943,0.9674023000752383,0.9963342327054131,double,-0.922093
20,0.083333,stand,-1.173697,-0.738137,0.930716,0.001549,0.000664,0.175213,0.0033605376860197985,0.03384541526642982,-0.0050408065290563474,-0.07009515855106102,0.03198549038356623,-0.05498196060021733,0.0012001920307327777,0.0007201152184556565,0.0007201152184348364,0.000480076812303771,-0.002640422467617441,0.00048007681229002974,-0.03675399999999995,0.1498750000000001,-0.922069,0.045487000000000055,-0.139432,-0.924705,0.08224100000000001,0.2893070000000001,0.0026359999999999717,0.971016604847029,0.9954561463067283,double,-0.922069
21,0.0875,stand,-1.173668,-0.737999,0.930719,0.001538,0.000768,0.175085,0.006959443244554074,0.03311735061197092,0.0007199424046016923,-0.0140017221420976,0.048306535342681575,-0.06233799014422641,-0.0007199424046016923,0.001199904007660606,0.001439884809215041,0.00047996160303227054,-0.0014398848092033846,-0.0011999040076793395,-0.036785999999999985,0.14974199999999993,-0.9220659999999999,0.045459999999999834,-0.13957600000000003,-0.924713,0.08224599999999982,0.28931799999999996,0.002647000000000066,0.9701836276036779,0.9967753548723219,double,-0.9220659999999999
22,0.091667,stand,-1.173655,-0.737846,0.930722,0.001515,0.000902,0.174941,0.0031197504199761807,0.03671706263497926,0.0007199424046283331,-0.02220068903547504,0.06148562806022064,-0.0700402596563693,0.001199904007633959,0.0019198464122889352,-0.0007199424046075181,-0.0007199424046016899,-0.0019198464122889352,-0.0009599232061434269,-0.036794000000000215,0.14959699999999998,-0.922072,0.04544399999999982,-0.139737,-0.9247200000000001,0.08223800000000003,0.289334,0.0026480000000000947,0.9695605187838883,0.996226709410425,double,-0.922072
23,0.095833,stand,-1.173639,-0.737706,0.930714,0.001501,0.001019,0.17481,0.00384061449827027,0.033605376860304584,-0.0019203072491617847,-0.016517855126483214,0.054211779327781505,-0.06384458452094746,-0.0012001920306794786,-0.0019203072491617847,0.0,0.001440230436911313,-0.002400384061438906,-0.0014402304368700894,-0.03681499999999982,0.14944899999999994,-0.922064,0.045434000000000196,-0.13988699999999998,-0.924718,0.08224900000000002,0.2893359999999999,0.002654000000000045,0.9696858036758029,0.9947532096940916,double,-0.922064
24,0.1,stand,-1.173636,-0.737567,0.930724,0.001551,0.001057,0.174737,0.0007199424046549763,0.03335733141348694,0.0023998080153478474,0.020395903803832636,0.02219950904515422,-0.03550155774303591,0.002399808015321204,0.001439884809230023,0.001679865610751153,-0.00023998080156942094,-0.0007199424046283331,0.0,-0.036808000000000174,0.149316,-0.922067,0.04542999999999986,-0.14002900000000007,-0.924728,0.08223800000000003,0.2893450000000001,0.0026610000000000245,0.9679498470087803,0.9987351901206726,double,-0.922067
25,0.104167,stand,-1.173623,-0.737426,0.930716,0.001527,0.001137,0.174675,0.0031197504199229043,0.03383729301654597,-0.0019198464122889415,-0.018090852655039343,0.035833902348162715,-0.030150566759522077,-0.00047996160303227054,-0.0002399808015427785,-0.0002399808015357014,0.0007199424046016923,-0.00383969282455124,0.0004799616030718191,-0.03682299999999983,0.14917400000000003,-0.92206,0.045420000000000016,-0.14018599999999992,-0.924718,0.08224299999999984,0.28935999999999995,0.002658000000000049,0.9724402824803375,0.9934400370103353,double,-0.92206
26,0.108333,stand,-1.173623,-0.737276,0.930748,0.001473,0.001231,0.174645,0.0,0.036005760921743485,0.007681228996647139,-0.03342890600141147,0.039923757023505195,-0.014585612594067363,0.003600576092145034,0.0009601536245808924,0.002160345655304926,-0.0007201152184290069,-0.0014402304368846632,-0.0019203072491599108,-0.03680799999999995,0.14902800000000005,-0.922083,0.04541700000000004,-0.14034199999999997,-0.924758,0.08222499999999999,0.28937,0.002674999999999983,0.9660711079993503,0.995823209109882,double,-0.922083
27,0.1125,stand,-1.17361,-0.737132,0.930751,0.001446,0.001389,0.17457,0.0031197504199761807,0.03455723542117419,0.0007199424046016899,-0.026057287206168917,0.0724504423373988,-0.036405862037287635,0.0014398848092033799,0.0011999040076872453,0.0002399808015357006,0.0019198464122889352,-0.003359731221492315,0.0,-0.03681500000000004,0.14888900000000005,-0.922085,0.04541200000000001,-0.14049999999999996,-0.9247609999999999,0.08222700000000005,0.289389,0.0026759999999999007,0.9700906487984982,0.9935507097445944,double,-0.922085
28,0.116667,walk,-1.173638,-0.736957,0.930769,0.001363,0.001547,0.174381,-0.00671946244298463,0.041996640268787154,0.004319654427636783,-0.05261226300846278,0.06782419859247305,-0.09191963067613745,-0.00047996160303226897,0.0007199424046016899,0.0019198464122868538,-0.0009599232061178244,-0.0038396928245778704,-0.00047996160307160936,-0.03678899999999996,0.148717,-0.922095,0.04543600000000003,-0.140691,-0.924781,0.08222499999999999,0.289408,0.002685999999999966,0.9696302950214601,0.9933552324910704,double,-0.922095
29,0.120833,walk,-1.173646,-0.736804,0.930797,0.001433,0.001666,0.174266,-0.001920307249161791,0.036725876140172614,0.006721075372066268,0.023029682433947513,0.06217424521054304,-0.056011273848187486,0.0026404224675908,0.0014402304368580185,0.002400384061450157,0.006240998559735846,-0.003120499279894573,-0.0016802688430149015,-0.03676999999999997,0.14856999999999998,-0.922113,0.0454699999999999,-0.140857,-0.924816,0.08223999999999987,0.289427,0.002703000000000011,0.9665564860210225,0.9880381529943401,double,-0.922113
30,0.125,walk,-1.173642,-0.736616,0.930822,0.001394,0.001862,0.174137,0.0009599232061178244,0.04511639068873669,0.005999520038409583,-0.03494463306074298,0.08944111128340991,-0.0627252421492272,-0.0004799616030855554,0.0007199424046283331,-0.0014398848092154525,-0.00743940484758632,-0.0035997120230350926,0.0014398848092152443,-0.03677599999999992,0.1483850000000001,-0.9221440000000001,0.045435000000000114,-0.14105999999999996,-0.9248350000000001,0.08221100000000003,0.28944500000000006,0.002690999999999999,0.9702902239820599,0.9860182719039293,double,-0.9221440000000001
