Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.054062,-0.003115,0.162576,-0.985209,-0.904383,1.593314,0.052870,-0.077893,0.037840,-0.449469,0.889089,-1.050539,1.351405,0.047355,0.024713,0.004480,-0.212406,0.976859,-0.949290,1.410418,0.956638
1,0.008333,-0.053146,-0.003068,0.162652,-0.985246,-0.904394,1.593385,0.052864,-0.077868,0.037698,-0.449333,0.889165,-1.050572,1.351408,0.047368,0.024955,0.005554,-0.213651,0.976576,-0.949089,1.410449,0.956720
2,0.016667,-0.052566,-0.002846,0.162703,-0.985270,-0.904414,1.593453,0.052866,-0.077808,0.037556,-0.449276,0.889205,-1.050597,1.351396,0.047354,0.025065,0.006766,-0.214782,0.976317,-0.948979,1.410410,0.956749
3,0.025000,-0.052065,-0.002763,0.162646,-0.985306,-0.904433,1.593567,0.052881,-0.077692,0.037490,-0.449208,0.889253,-1.050605,1.351388,0.047369,0.025782,0.008325,-0.215623,0.976101,-0.948974,1.410409,0.956848
4,0.033333,-0.051140,-0.002709,0.162754,-0.985337,-0.904438,1.593632,0.052870,-0.077582,0.037414,-0.449152,0.889294,-1.050614,1.351377,0.047378,0.025714,0.010364,-0.216442,0.975902,-0.949014,1.410228,0.956810
5,0.041667,-0.050036,-0.002590,0.162754,-0.985394,-0.904444,1.593697,0.052854,-0.077592,0.037398,-0.448996,0.889373,-1.050636,1.351380,0.047377,0.025374,0.011976,-0.217338,0.975693,-0.949024,1.410194,0.956852
6,0.050000,-0.048772,-0.002527,0.162659,-0.985473,-0.904473,1.593771,0.052903,-0.077620,0.037419,-0.448955,0.889390,-1.050649,1.351373,0.047376,0.024956,0.013062,-0.217934,0.975557,-0.949097,1.410135,0.956931
7,0.058333,-0.053177,-0.001019,0.161866,-0.985378,-0.904629,1.594140,0.053280,-0.077497,0.037378,-0.448863,0.889449,-1.050649,1.351369,0.047379,0.025709,0.012432,-0.218975,0.975313,-0.949389,1.410064,0.956672
8,0.066667,-0.052632,-0.000956,0.162177,-0.985357,-0.904612,1.594251,0.053312,-0.077392,0.037358,-0.448839,0.889471,-1.050642,1.351367,0.047401,0.025204,0.013374,-0.219540,0.975186,-0.949492,1.409957,0.956690
9,0.075000,-0.052241,-0.000057,0.162735,-0.985286,-0.904809,1.594169,0.053382,-0.077295,0.037265,-0.448695,0.889556,-1.050678,1.351359,0.047362,0.024659,0.013574,-0.219527,0.975200,-0.949710,1.409819,0.956706
10,0.083333,-0.050146,-0.000835,0.162128,-0.985494,-0.904692,1.594267,0.053272,-0.077422,0.037319,-0.448698,0.889541,-1.050662,1.351373,0.047386,0.024205,0.014361,-0.219800,0.975139,-0.949866,1.409633,0.956675
11,0.091667,-0.048697,-0.000833,0.162019,-0.985585,-0.904747,1.594252,0.053227,-0.077351,0.037327,-0.448717,0.889538,-1.050641,1.351377,0.047398,0.023592,0.015532,-0.220103,0.975068,-0.950030,1.409473,0.956764
12,0.100000,-0.047031,-0.001008,0.161812,-0.985700,-0.904801,1.594199,0.053209,-0.077396,0.037336,-0.448745,0.889519,-1.050641,1.351375,0.047392,0.023192,0.016137,-0.220164,0.975054,-0.950228,1.409205,0.956733
13,0.108333,-0.045413,-0.001124,0.161527,-0.985822,-0.904854,1.594156,0.053186,-0.077552,0.037362,-0.448707,0.889523,-1.050648,1.351383,0.047381,0.022698,0.017055,-0.220241,0.975032,-0.950409,1.408935,0.956755
14,0.116667,-0.044998,-0.000483,0.161790,-0.985799,-0.905026,1.593998,0.053251,-0.077496,0.037346,-0.448690,0.889538,-1.050625,1.351401,0.047403,0.022133,0.017932,-0.220315,0.975013,-0.950603,1.408629,0.956781
15,0.125000,-0.044266,-0.000564,0.161667,-0.985852,-0.905048,1.593978,0.053248,-0.077546,0.037370,-0.448683,0.889536,-1.050627,1.351408,0.047391,0.021864,0.018654,-0.220295,0.975010,-0.950844,1.408232,0.956722
16,0.133333,-0.043350,-0.000660,0.161539,-0.985914,-0.905072,1.593969,0.053206,-0.077361,0.037238,-0.448614,0.889592,-1.050630,1.351398,0.047385,0.021299,0.019541,-0.220532,0.974951,-0.951082,1.407883,0.956748
17,0.141667,-0.042722,-0.000881,0.161543,-0.985940,-0.905095,1.593974,0.053161,-0.077213,0.037211,-0.448594,0.889616,-1.050646,1.351388,0.047400,0.020736,0.020447,-0.220924,0.974856,-0.951325,1.407589,0.956783
18,0.150000,-0.042159,-0.000898,0.161451,-0.985979,-0.905134,1.594013,0.053117,-0.077093,0.037116,-0.448550,0.889653,-1.050634,1.351388,0.047418,0.020276,0.021391,-0.221258,0.974770,-0.951634,1.407221,0.956843
19,0.158333,-0.041939,-0.000850,0.161306,-0.986013,-0.905186,1.594081,0.053104,-0.077084,0.036934,-0.448365,0.889754,-1.050624,1.351401,0.047425,0.019734,0.022282,-0.221889,0.974618,-0.951918,1.406798,0.956822
20,0.166667,-0.041793,-0.000702,0.161280,-0.986023,-0.905224,1.594158,0.053091,-0.077186,0.036769,-0.448088,0.889892,-1.050632,1.351420,0.047445,0.019267,0.022681,-0.222536,0.974470,-0.952274,1.406460,0.956831
