Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.001152,0.065164,0.984679,-0.161739,0.800573,1.092965,0.050149,0.000946,-0.046428,0.988296,0.145312,0.770552,1.348107,0.051842,0.017462,0.012345,-0.998570,-0.048994,0.760613,1.218127,0.962580
1,0.008333,0.001137,0.065031,0.984694,-0.161700,0.800575,1.092963,0.050143,0.000832,-0.046310,0.988304,0.145290,0.770536,1.348139,0.051872,0.017360,0.012142,-0.998578,-0.048928,0.760721,1.218022,0.962560
2,0.016667,0.001155,0.065043,0.984700,-0.161663,0.800571,1.092958,0.050162,0.000937,-0.046487,0.988288,0.145343,0.770548,1.348114,0.051842,0.017448,0.012178,-0.998573,-0.048981,0.760774,1.217796,0.962569
3,0.025000,0.001209,0.064929,0.984708,-0.161655,0.800581,1.092961,0.050146,0.000836,-0.046354,0.988302,0.145293,0.770543,1.348143,0.051863,0.017321,0.012219,-0.998576,-0.048963,0.760790,1.217615,0.962531
4,0.033333,0.001245,0.064906,0.984716,-0.161616,0.800577,1.092963,0.050143,0.001042,-0.046529,0.988297,0.145268,0.770556,1.348120,0.051827,0.017053,0.012131,-0.998582,-0.048949,0.760830,1.217422,0.962452
5,0.041667,0.001299,0.064849,0.984719,-0.161622,0.800572,1.092957,0.050156,0.001000,-0.046594,0.988290,0.145299,0.770560,1.348120,0.051834,0.017560,0.012388,-0.998574,-0.048867,0.760868,1.217055,0.962539
6,0.050000,0.001349,0.064812,0.984725,-0.161599,0.800581,1.092950,0.050147,0.001033,-0.046464,0.988286,0.145364,0.770555,1.348117,0.051829,0.017654,0.012246,-0.998581,-0.048735,0.760970,1.216779,0.962508
7,0.058333,0.001316,0.064795,0.984726,-0.161597,0.800575,1.092944,0.050168,0.000909,-0.046385,0.988295,0.145328,0.770555,1.348151,0.051845,0.017423,0.012161,-0.998600,-0.048435,0.761108,1.216486,0.962487
8,0.066667,0.001388,0.064747,0.984724,-0.161632,0.800589,1.092941,0.050157,0.000917,-0.046437,0.988303,0.145261,0.770551,1.348156,0.051853,0.017588,0.011963,-0.998615,-0.048122,0.761300,1.216180,0.962516
9,0.075000,0.001460,0.064606,0.984743,-0.161573,0.800597,1.092928,0.050161,0.000913,-0.046356,0.988302,0.145291,0.770557,1.348155,0.051841,0.017915,0.011751,-0.998631,-0.047717,0.761494,1.215858,0.962606
10,0.083333,0.001454,0.064622,0.984743,-0.161564,0.800592,1.092926,0.050159,0.000883,-0.046433,0.988293,0.145329,0.770552,1.348176,0.051856,0.017905,0.011687,-0.998642,-0.047502,0.761662,1.215487,0.962624
11,0.091667,0.001467,0.064613,0.984747,-0.161543,0.800611,1.092930,0.050149,0.000935,-0.046391,0.988301,0.145283,0.770565,1.348174,0.051841,0.017928,0.011576,-0.998663,-0.047079,0.761818,1.215139,0.962632
12,0.100000,0.001507,0.064618,0.984745,-0.161552,0.800609,1.092918,0.050145,0.000910,-0.046476,0.988294,0.145308,0.770549,1.348186,0.051861,0.017798,0.011626,-0.998681,-0.046738,0.761934,1.214779,0.962603
13,0.108333,0.001544,0.064447,0.984765,-0.161498,0.800618,1.092921,0.050144,0.000978,-0.046643,0.988288,0.145292,0.770554,1.348184,0.051851,0.017881,0.011583,-0.998682,-0.046691,0.761993,1.214433,0.962528
14,0.116667,0.001552,0.064532,0.984758,-0.161510,0.800626,1.092907,0.050152,0.000963,-0.046644,0.988288,0.145295,0.770556,1.348188,0.051857,0.018421,0.011101,-0.998701,-0.046194,0.762230,1.213837,0.962653
15,0.125000,0.001563,0.064376,0.984766,-0.161519,0.800633,1.092901,0.050148,0.000916,-0.046779,0.988279,0.145314,0.770553,1.348186,0.051851,0.018240,0.010928,-0.998723,-0.045838,0.762356,1.213370,0.962688
16,0.133333,0.001600,0.064392,0.984772,-0.161479,0.800648,1.092890,0.050144,0.000984,-0.046688,0.988276,0.145359,0.770555,1.348183,0.051846,0.018323,0.010739,-0.998748,-0.045301,0.762525,1.212886,0.962762
17,0.141667,0.001665,0.064197,0.984783,-0.161491,0.800660,1.092886,0.050132,0.000963,-0.046825,0.988269,0.145367,0.770564,1.348185,0.051826,0.017871,0.011062,-0.998745,-0.045455,0.762592,1.212604,0.962619
18,0.150000,0.001657,0.064333,0.984766,-0.161538,0.800650,1.092877,0.050144,0.000984,-0.046836,0.988270,0.145353,0.770570,1.348181,0.051811,0.017864,0.011189,-0.998749,-0.045353,0.762586,1.212271,0.962535
19,0.158333,0.001687,0.064206,0.984781,-0.161497,0.800655,1.092873,0.050140,0.000906,-0.047008,0.988255,0.145401,0.770553,1.348175,0.051830,0.017920,0.011065,-0.998771,-0.044875,0.762620,1.211909,0.962485
