Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.026521,-0.020241,-0.579905,0.814001,1.359519,0.306914,0.715620,-0.008056,-0.059949,0.745409,-0.663858,1.106088,0.237204,0.709533,-0.184885,0.982213,0.011211,0.030799,1.267575,0.254824,0.703014
1,0.008333,0.026567,-0.020239,-0.579873,0.814022,1.359520,0.306908,0.715617,-0.008107,-0.059981,0.745351,-0.663919,1.106097,0.237189,0.709525,-0.184892,0.982204,0.011490,0.030964,1.267585,0.254818,0.702991
2,0.016667,0.026627,-0.020268,-0.579881,0.814014,1.359537,0.306911,0.715614,-0.008062,-0.060220,0.745270,-0.663989,1.106122,0.237166,0.709517,-0.184888,0.982198,0.011718,0.031075,1.267601,0.254796,0.702973
3,0.025000,0.026628,-0.020240,-0.579779,0.814087,1.359529,0.306893,0.715628,-0.008049,-0.060427,0.745258,-0.663984,1.106130,0.237153,0.709518,-0.184883,0.982196,0.011931,0.031108,1.267631,0.254808,0.702989
4,0.033333,0.026597,-0.020234,-0.579763,0.814100,1.359524,0.306898,0.715629,-0.008055,-0.060540,0.745235,-0.663999,1.106146,0.237147,0.709506,-0.184889,0.982191,0.012063,0.031182,1.267642,0.254790,0.702973
5,0.041667,0.026565,-0.020151,-0.579676,0.814165,1.359511,0.306893,0.715632,-0.008035,-0.060606,0.745206,-0.664026,1.106152,0.237131,0.709507,-0.184891,0.982186,0.012158,0.031289,1.267641,0.254791,0.702967
6,0.050000,0.026475,-0.020127,-0.579727,0.814132,1.359536,0.306894,0.715641,-0.008105,-0.060680,0.745229,-0.663992,1.106160,0.237124,0.709502,-0.184944,0.982169,0.012313,0.031429,1.267644,0.254782,0.702950
7,0.058333,0.026484,-0.020071,-0.579620,0.814209,1.359513,0.306895,0.715650,-0.008082,-0.060707,0.745212,-0.664009,1.106163,0.237118,0.709494,-0.184926,0.982172,0.012388,0.031425,1.267655,0.254784,0.702953
8,0.066667,0.026324,-0.019992,-0.579668,0.814182,1.359529,0.306903,0.715655,-0.008118,-0.060706,0.745233,-0.663986,1.106158,0.237114,0.709490,-0.184944,0.982167,0.012398,0.031452,1.267647,0.254770,0.702939
9,0.075000,0.026229,-0.019966,-0.579614,0.814224,1.359523,0.306903,0.715664,-0.008142,-0.060717,0.745251,-0.663964,1.106160,0.237115,0.709484,-0.184922,0.982174,0.012417,0.031381,1.267651,0.254758,0.702929
10,0.083333,0.026179,-0.019955,-0.579614,0.814226,1.359547,0.306906,0.715666,-0.008102,-0.060768,0.745274,-0.663934,1.106160,0.237111,0.709472,-0.184934,0.982175,0.012345,0.031306,1.267664,0.254772,0.702946
11,0.091667,0.026207,-0.019945,-0.579641,0.814206,1.359560,0.306905,0.715683,-0.008114,-0.060753,0.745287,-0.663920,1.106160,0.237116,0.709472,-0.184948,0.982175,0.012313,0.031214,1.267666,0.254789,0.702956
12,0.100000,0.026196,-0.019798,-0.579514,0.814301,1.359549,0.306903,0.715686,-0.008120,-0.060733,0.745306,-0.663901,1.106143,0.237114,0.709462,-0.184954,0.982176,0.012275,0.031181,1.267656,0.254784,0.702939
13,0.108333,0.026175,-0.019765,-0.579512,0.814304,1.359552,0.306904,0.715699,-0.008160,-0.060674,0.745327,-0.663882,1.106131,0.237115,0.709455,-0.184967,0.982174,0.012254,0.031170,1.267651,0.254757,0.702911
14,0.116667,0.026243,-0.019703,-0.579477,0.814328,1.359551,0.306909,0.715696,-0.008122,-0.060705,0.745348,-0.663856,1.106113,0.237100,0.709447,-0.184991,0.982169,0.012246,0.031184,1.267652,0.254735,0.702891
15,0.125000,0.026276,-0.019698,-0.579452,0.814345,1.359551,0.306898,0.715706,-0.008154,-0.060708,0.745376,-0.663825,1.106098,0.237101,0.709438,-0.185025,0.982163,0.012264,0.031163,1.267636,0.254723,0.702872
16,0.133333,0.026215,-0.019755,-0.579513,0.814301,1.359563,0.306896,0.715705,-0.008180,-0.060653,0.745432,-0.663766,1.106073,0.237098,0.709417,-0.185055,0.982158,0.012272,0.031144,1.267639,0.254730,0.702869
17,0.141667,0.026162,-0.019603,-0.579460,0.814345,1.359543,0.306895,0.715716,-0.008133,-0.060665,0.745478,-0.663713,1.106044,0.237092,0.709406,-0.185084,0.982151,0.012323,0.031160,1.267614,0.254698,0.702834
18,0.150000,0.026159,-0.019630,-0.579471,0.814336,1.359558,0.306887,0.715724,-0.008013,-0.060885,0.745525,-0.663643,1.106013,0.237097,0.709388,-0.185081,0.982152,0.012359,0.031129,1.267605,0.254683,0.702809
19,0.158333,0.026149,-0.019632,-0.579429,0.814367,1.359565,0.306883,0.715719,-0.008046,-0.060826,0.745559,-0.663610,1.105991,0.237098,0.709370,-0.185137,0.982143,0.012399,0.031070,1.267623,0.254714,0.702843
20,0.166667,0.026070,-0.019525,-0.579410,0.814385,1.359564,0.306888,0.715721,-0.008022,-0.060804,0.745595,-0.663571,1.105959,0.237110,0.709368,-0.185102,0.982148,0.012454,0.031110,1.267606,0.254675,0.702781
21,0.175000,0.025983,-0.019479,-0.579342,0.814437,1.359572,0.306889,0.715724,-0.007955,-0.060875,0.745616,-0.663542,1.105948,0.237107,0.709358,-0.185173,0.982136,0.012469,0.031063,1.267618,0.254697,0.702797
22,0.183333,0.025901,-0.019482,-0.579358,0.814429,1.359585,0.306893,0.715735,-0.007956,-0.060932,0.745637,-0.663513,1.105929,0.237113,0.709347,-0.185155,0.982136,0.012524,0.031124,1.267599,0.254666,0.702740
23,0.191667,0.025909,-0.019363,-0.579319,0.814459,1.359599,0.306894,0.715741,-0.007868,-0.061011,0.745645,-0.663497,1.105923,0.237110,0.709341,-0.184936,0.982165,0.012498,0.031518,1.267421,0.254438,0.702431
24,0.200000,0.025665,-0.019300,-0.579346,0.814449,1.359602,0.306906,0.715745,-0.007929,-0.061056,0.745664,-0.663471,1.105912,0.237113,0.709337,-0.184439,0.982239,0.012204,0.032259,1.267140,0.254005,0.701846
25,0.208333,0.025616,-0.019142,-0.579250,0.814523,1.359598,0.306903,0.715756,-0.007876,-0.061139,0.745677,-0.663450,1.105914,0.237100,0.709326,-0.185261,0.982116,0.012356,0.031210,1.267557,0.254554,0.702578
26,0.216667,0.025694,-0.019135,-0.579202,0.814554,1.359613,0.306892,0.715761,-0.007889,-0.061226,0.745733,-0.663378,1.105906,0.237100,0.709325,-0.185389,0.982106,0.012496,0.030689,1.267674,0.254641,0.702794
27,0.225000,0.025532,-0.018974,-0.579197,0.814567,1.359615,0.306907,0.715765,-0.007827,-0.061314,0.745762,-0.663339,1.105912,0.237091,0.709323,-0.185289,0.982110,0.012375,0.031226,1.267549,0.254528,0.702537
28,0.233333,0.025459,-0.018931,-0.579190,0.814575,1.359625,0.306901,0.715779,-0.007766,-0.061424,0.745791,-0.663296,1.105916,0.237088,0.709322,-0.184670,0.982200,0.012234,0.032094,1.267163,0.254012,0.701842
29,0.241667,0.025338,-0.018815,-0.579211,0.814566,1.359619,0.306908,0.715795,-0.007766,-0.061466,0.745805,-0.663277,1.105923,0.237088,0.709319,-0.184318,0.982259,0.012121,0.032375,1.266930,0.253896,0.701573
30,0.250000,0.025256,-0.018781,-0.579239,0.814550,1.359620,0.306906,0.715805,-0.007712,-0.061542,0.745847,-0.663224,1.105933,0.237087,0.709315,-0.183415,0.982456,0.012595,0.031325,1.266665,0.254034,0.701608
31,0.258333,0.025151,-0.018674,-0.579293,0.814517,1.359620,0.306924,0.715806,-0.007688,-0.061501,0.745883,-0.663187,1.105935,0.237093,0.709311,-0.182822,0.982583,0.012605,0.030780,1.266429,0.254062,0.701521
32,0.266667,0.025077,-0.018603,-0.579337,0.814490,1.359622,0.306937,0.715809,-0.007703,-0.061543,0.745912,-0.663150,1.105944,0.237095,0.709309,-0.182882,0.982572,0.012344,0.030885,1.266299,0.254069,0.701403
33,0.275000,0.024970,-0.018572,-0.579405,0.814446,1.359635,0.306941,0.715812,-0.007630,-0.061623,0.745943,-0.663108,1.105945,0.237108,0.709303,-0.183248,0.982504,0.011914,0.031061,1.266250,0.254085,0.701322
34,0.283333,0.024882,-0.018471,-0.579425,0.814436,1.359638,0.306955,0.715817,-0.007558,-0.061677,0.745963,-0.663083,1.105954,0.237110,0.709305,-0.183579,0.982439,0.011740,0.031224,1.266186,0.254063,0.701211
35,0.291667,0.024829,-0.018394,-0.579508,0.814381,1.359637,0.306972,0.715818,-0.007510,-0.061779,0.745995,-0.663037,1.105962,0.237116,0.709301,-0.184038,0.982350,0.011388,0.031444,1.266167,0.254058,0.701127
36,0.300000,0.024736,-0.018376,-0.579611,0.814311,1.359645,0.306985,0.715824,-0.007374,-0.061846,0.746034,-0.662989,1.105973,0.237126,0.709299,-0.184602,0.982238,0.010658,0.031904,1.266182,0.253939,0.700974
37,0.308333,0.024752,-0.018407,-0.579702,0.814245,1.359657,0.307003,0.715822,-0.007315,-0.061908,0.746069,-0.662945,1.105984,0.237130,0.709293,-0.185108,0.982141,0.009874,0.032210,1.266191,0.253846,0.700843
38,0.316667,0.024767,-0.018367,-0.579651,0.814281,1.359655,0.307009,0.715831,-0.007203,-0.061948,0.746081,-0.662928,1.105985,0.237143,0.709292,-0.185575,0.982050,0.009149,0.032509,1.266184,0.253793,0.700732
39,0.325000,0.024694,-0.018340,-0.579700,0.814249,1.359648,0.307031,0.715823,-0.007066,-0.061996,0.746088,-0.662917,1.105989,0.237149,0.709284,-0.186014,0.981966,0.008585,0.032675,1.266166,0.253770,0.700652
40,0.333333,0.024644,-0.018267,-0.579774,0.814199,1.359646,0.307047,0.715804,-0.006937,-0.062199,0.746094,-0.662893,1.106017,0.237160,0.709283,-0.186641,0.981904,0.009012,0.030800,1.266888,0.254129,0.701511
41,0.341667,0.024713,-0.018263,-0.579817,0.814167,1.359660,0.307056,0.715805,-0.006846,-0.062421,0.746126,-0.662837,1.106037,0.237159,0.709283,-0.186595,0.981911,0.009071,0.030847,1.266903,0.254124,0.701500
42,0.350000,0.024537,-0.018211,-0.580083,0.813984,1.359667,0.307076,0.715803,-0.006682,-0.062571,0.746144,-0.662805,1.106060,0.237166,0.709290,-0.186432,0.981937,0.009284,0.030928,1.266933,0.254101,0.701482
43,0.358333,0.024790,-0.018243,-0.579803,0.814175,1.359651,0.307063,0.715798,-0.006604,-0.062685,0.746195,-0.662737,1.106079,0.237161,0.709280,-0.186278,0.981959,0.009639,0.031060,1.266990,0.254081,0.701497
44,0.366667,0.024780,-0.018313,-0.579878,0.814120,1.359653,0.307070,0.715784,-0.006512,-0.062839,0.746199,-0.662718,1.106103,0.237155,0.709284,-0.186043,0.981998,0.010041,0.031115,1.267077,0.254113,0.701572
45,0.375000,0.024350,-0.018411,-0.580463,0.813714,1.359672,0.307115,0.715731,-0.006337,-0.063023,0.746277,-0.662615,1.106123,0.237147,0.709288,-0.185807,0.982036,0.010549,0.031139,1.267172,0.254199,0.701707
46,0.383333,0.024419,-0.018384,-0.580424,0.813740,1.359663,0.307131,0.715731,-0.006141,-0.063317,0.746296,-0.662567,1.106149,0.237144,0.709290,-0.185619,0.982067,0.011060,0.031114,1.267311,0.254331,0.701900
47,0.391667,0.024711,-0.018496,-0.580715,0.813522,1.359691,0.307168,0.715709,-0.006125,-0.063398,0.746378,-0.662468,1.106161,0.237142,0.709296,-0.185441,0.982095,0.011539,0.031110,1.267428,0.254447,0.702073
48,0.400000,0.024316,-0.018324,-0.580531,0.813668,1.359652,0.307167,0.715729,-0.006012,-0.063535,0.746435,-0.662392,1.106194,0.237146,0.709291,-0.185430,0.982068,0.012403,0.031688,1.267483,0.254514,0.702129
49,0.408333,0.024335,-0.018269,-0.580523,0.813675,1.359622,0.307192,0.715724,-0.005952,-0.063847,0.746469,-0.662324,1.106226,0.237138,0.709292,-0.185485,0.982024,0.013269,0.032381,1.267507,0.254556,0.702146
50,0.416667,0.024642,-0.018411,-0.580875,0.813412,1.359671,0.307229,0.715697,-0.005887,-0.063974,0.746531,-0.662241,1.106246,0.237146,0.709285,-0.185451,0.982001,0.014060,0.032931,1.267507,0.254597,0.702155
51,0.425000,0.024543,-0.018420,-0.580782,0.813480,1.359641,0.307214,0.715712,-0.006119,-0.063234,0.746898,-0.661897,1.106388,0.237131,0.709207,-0.185511,0.981963,0.014727,0.033434,1.267516,0.254612,0.702160
52,0.433333,0.024787,-0.018508,-0.581014,0.813305,1.359652,0.307239,0.715698,-0.006224,-0.063106,0.747081,-0.661702,1.106432,0.237144,0.709178,-0.185522,0.981938,0.015294,0.033847,1.267495,0.254611,0.702149
53,0.441667,0.024697,-0.018432,-0.580775,0.813481,1.359604,0.307216,0.715714,-0.006271,-0.063030,0.747251,-0.661516,1.106494,0.237139,0.709170,-0.185497,0.981933,0.015510,0.034038,1.267493,0.254591,0.702129
54,0.450000,0.024744,-0.018506,-0.580873,0.813408,1.359597,0.307209,0.715712,-0.006366,-0.062848,0.747471,-0.661284,1.106555,0.237157,0.709141,-0.185410,0.981949,0.015458,0.034070,1.267468,0.254563,0.702069
55,0.458333,0.025094,-0.018675,-0.581113,0.813222,1.359616,0.307236,0.715688,-0.006416,-0.062792,0.747691,-0.661041,1.106617,0.237154,0.709137,-0.185448,0.981936,0.015593,0.034169,1.267456,0.254553,0.702051
56,0.466667,0.025048,-0.018595,-0.581182,0.813175,1.359627,0.307244,0.715687,-0.006308,-0.062593,0.747910,-0.660812,1.106676,0.237172,0.709122,-0.185542,0.981914,0.015646,0.034279,1.267442,0.254542,0.702016
