Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.026372,0.018747,0.797421,0.602555,1.047715,-0.934195,0.021871,-0.006714,0.006503,-0.458859,-0.888460,1.324070,-0.841799,0.019816,-0.027184,0.002991,0.677679,0.734850,1.220002,-0.919433,0.928823
1,0.008333,0.026353,0.018865,0.797424,0.602548,1.047706,-0.934193,0.021880,-0.006747,0.006580,-0.458850,-0.888464,1.324074,-0.841796,0.019807,-0.026940,0.003063,0.677196,0.735303,1.220374,-0.919080,0.928726
2,0.016667,0.026263,0.018704,0.797398,0.602592,1.047696,-0.934190,0.021870,-0.006736,0.006737,-0.458905,-0.888434,1.324073,-0.841799,0.019812,-0.027332,0.002715,0.676902,0.735561,1.221154,-0.918542,0.928811
3,0.025000,0.026186,0.018807,0.797422,0.602560,1.047680,-0.934192,0.021873,-0.006791,0.006728,-0.458895,-0.888439,1.324065,-0.841801,0.019797,-0.026758,0.002149,0.676709,0.735761,1.221834,-0.918103,0.928696
4,0.033333,0.026086,0.018896,0.797444,0.602533,1.047668,-0.934187,0.021873,-0.006762,0.006514,-0.458866,-0.888456,1.324063,-0.841809,0.019791,-0.026652,0.001757,0.676367,0.736081,1.222327,-0.917664,0.928701
5,0.041667,0.026008,0.018943,0.797481,0.602485,1.047649,-0.934183,0.021872,-0.006680,0.006805,-0.458868,-0.888453,1.324066,-0.841813,0.019802,-0.027138,0.001941,0.676086,0.736320,1.222938,-0.917188,0.928795
6,0.050000,0.025840,0.019020,0.797481,0.602491,1.047617,-0.934175,0.021872,-0.006625,0.006831,-0.458933,-0.888420,1.324081,-0.841820,0.019803,-0.026723,0.001512,0.675764,0.736632,1.223586,-0.916805,0.928719
7,0.058333,0.025758,0.019096,0.797495,0.602473,1.047573,-0.934179,0.021875,-0.006770,0.006821,-0.458898,-0.888437,1.324062,-0.841816,0.019789,-0.026412,0.001435,0.675082,0.737268,1.224084,-0.916353,0.928712
8,0.066667,0.025448,0.019143,0.797568,0.602388,1.047515,-0.934182,0.021878,-0.006904,0.006847,-0.458919,-0.888425,1.324060,-0.841819,0.019788,-0.026167,0.001711,0.674760,0.737571,1.224837,-0.916036,0.928611
9,0.075000,0.025269,0.018962,0.797587,0.602376,1.047458,-0.934189,0.021867,-0.006821,0.006631,-0.458924,-0.888425,1.324069,-0.841827,0.019784,-0.025634,0.001649,0.674522,0.737808,1.225436,-0.915610,0.928564
10,0.083333,0.024980,0.018843,0.797615,0.602355,1.047404,-0.934190,0.021868,-0.006926,0.006556,-0.458934,-0.888419,1.324054,-0.841825,0.019784,-0.025618,0.001391,0.673981,0.738303,1.225980,-0.915250,0.928650
11,0.091667,0.024660,0.018832,0.797689,0.602270,1.047345,-0.934194,0.021876,-0.007080,0.006810,-0.458974,-0.888395,1.324057,-0.841829,0.019788,-0.025268,0.001470,0.673927,0.738364,1.226873,-0.914791,0.928666
12,0.100000,0.024496,0.018879,0.797664,0.602308,1.047269,-0.934193,0.021882,-0.007203,0.006744,-0.458993,-0.888385,1.324063,-0.841832,0.019798,-0.025163,0.001559,0.673223,0.739010,1.227423,-0.914570,0.928673
13,0.108333,0.024186,0.018937,0.797722,0.602242,1.047219,-0.934187,0.021890,-0.007335,0.006808,-0.459031,-0.888364,1.324066,-0.841827,0.019799,-0.025080,0.001082,0.672768,0.739428,1.228027,-0.914372,0.928718
14,0.116667,0.023907,0.018955,0.797708,0.602271,1.047176,-0.934178,0.021902,-0.007499,0.006607,-0.459017,-0.888372,1.324053,-0.841834,0.019798,-0.024696,0.001787,0.672691,0.739509,1.228921,-0.913795,0.928786
15,0.125000,0.023613,0.019108,0.797755,0.602216,1.047124,-0.934169,0.021918,-0.007684,0.006771,-0.459094,-0.888329,1.324059,-0.841835,0.019803,-0.024749,0.001973,0.672160,0.739990,1.229433,-0.913516,0.929001
16,0.133333,0.022951,0.019002,0.797844,0.602127,1.047088,-0.934149,0.021927,-0.007801,0.006934,-0.459172,-0.888286,1.324058,-0.841830,0.019811,-0.024307,0.002270,0.671856,0.740279,1.230394,-0.913287,0.929053
17,0.141667,0.022606,0.019440,0.797806,0.602177,1.047006,-0.934126,0.021977,-0.007883,0.006759,-0.459224,-0.888260,1.324058,-0.841830,0.019823,-0.023413,0.002109,0.671418,0.740705,1.231283,-0.913201,0.929025
18,0.150000,0.022048,0.019602,0.797866,0.602113,1.046938,-0.934082,0.022021,-0.008140,0.006662,-0.459339,-0.888199,1.324058,-0.841837,0.019838,-0.022800,0.001886,0.671260,0.740869,1.232105,-0.913027,0.929068
19,0.158333,0.021269,0.019772,0.798001,0.601956,1.046866,-0.934029,0.022073,-0.008251,0.006624,-0.459408,-0.888162,1.324061,-0.841843,0.019833,-0.022187,0.002501,0.671003,0.741118,1.233011,-0.912717,0.929198
20,0.166667,0.020357,0.020220,0.798205,0.601702,1.046784,-0.933962,0.022148,-0.008504,0.006587,-0.459501,-0.888112,1.324056,-0.841848,0.019832,-0.022014,0.002164,0.670858,0.741256,1.233771,-0.912556,0.929312
21,0.175000,0.019382,0.020576,0.798661,0.601117,1.046786,-0.933879,0.022205,-0.008658,0.006346,-0.459552,-0.888086,1.324053,-0.841851,0.019842,-0.021468,0.002915,0.670571,0.741529,1.234783,-0.912445,0.929380
22,0.183333,0.018298,0.021335,0.798981,0.600699,1.046751,-0.933771,0.022324,-0.009200,0.006502,-0.459745,-0.887979,1.324054,-0.841851,0.019850,-0.020329,0.002750,0.670268,0.741836,1.235608,-0.912391,0.929308
23,0.191667,0.017283,0.022339,0.799294,0.600276,1.046731,-0.933640,0.022493,-0.009352,0.006351,-0.459810,-0.887945,1.324056,-0.841857,0.019857,-0.020165,0.003325,0.670038,0.742046,1.236785,-0.912203,0.929493
24,0.200000,0.015801,0.023619,0.799632,0.599818,1.046712,-0.933449,0.022787,-0.009794,0.006618,-0.459981,-0.887850,1.324038,-0.841848,0.019863,-0.019675,0.002815,0.669947,0.742143,1.237625,-0.912170,0.929513
25,0.208333,0.014411,0.025161,0.799805,0.599559,1.046755,-0.933210,0.023154,-0.009929,0.006794,-0.460223,-0.887722,1.324056,-0.841852,0.019890,-0.019041,0.003917,0.670079,0.742035,1.238684,-0.912152,0.929626
26,0.216667,0.013091,0.026827,0.800038,0.599206,1.046868,-0.932985,0.023516,-0.009717,0.006689,-0.460401,-0.887633,1.324075,-0.841863,0.019928,-0.017826,0.003186,0.670120,0.742031,1.239881,-0.912160,0.929577
27,0.225000,0.010939,0.029199,0.800288,0.598805,1.046991,-0.932714,0.024069,-0.010410,0.006612,-0.460460,-0.887595,1.324057,-0.841860,0.019894,-0.017229,0.003843,0.669723,0.742401,1.240848,-0.912138,0.929628
