Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.030837,0.000046,-0.298246,0.953991,0.095227,0.607448,0.045077,-0.054619,0.057499,-0.626406,0.775453,-0.133284,0.390106,0.039287,-0.029528,-0.005003,0.310994,-0.949940,0.009615,0.457796,0.947012
1,0.008333,0.030953,0.000045,-0.298222,0.953995,0.095228,0.607451,0.045071,-0.054618,0.057504,-0.626397,0.775459,-0.133283,0.390105,0.039287,-0.029442,-0.004942,0.310752,-0.950022,0.009615,0.457766,0.947006
2,0.016667,0.030983,0.000106,-0.298224,0.953993,0.095230,0.607444,0.045080,-0.054586,0.057505,-0.626384,0.775472,-0.133277,0.390102,0.039291,-0.029380,-0.004871,0.310647,-0.950059,0.009646,0.457715,0.947036
3,0.025000,0.030939,0.000144,-0.298218,0.953996,0.095231,0.607444,0.045081,-0.054553,0.057521,-0.626390,0.775468,-0.133275,0.390098,0.039293,-0.029348,-0.005070,0.310509,-0.950104,0.009643,0.457676,0.947070
4,0.033333,0.031028,0.000151,-0.298198,0.954000,0.095238,0.607437,0.045086,-0.054589,0.057553,-0.626385,0.775468,-0.133267,0.390104,0.039291,-0.029280,-0.005246,0.310281,-0.950179,0.009637,0.457668,0.947118
5,0.041667,0.031012,0.000185,-0.298155,0.954014,0.095235,0.607435,0.045097,-0.054555,0.057582,-0.626398,0.775457,-0.133261,0.390092,0.039300,-0.029264,-0.005600,0.310102,-0.950236,0.009640,0.457645,0.947165
6,0.050000,0.031073,0.000187,-0.298148,0.954014,0.095239,0.607427,0.045091,-0.054573,0.057611,-0.626378,0.775470,-0.133260,0.390092,0.039293,-0.029185,-0.005688,0.309969,-0.950282,0.009648,0.457612,0.947198
7,0.058333,0.031059,0.000254,-0.298132,0.954019,0.095242,0.607427,0.045108,-0.054607,0.057644,-0.626364,0.775476,-0.133257,0.390088,0.039295,-0.029195,-0.005531,0.309839,-0.950325,0.009658,0.457582,0.947174
8,0.066667,0.031052,0.000288,-0.298112,0.954026,0.095242,0.607420,0.045100,-0.054613,0.057638,-0.626385,0.775459,-0.133259,0.390090,0.039293,-0.029226,-0.005436,0.309583,-0.950408,0.009663,0.457521,0.947152
9,0.075000,0.031141,0.000295,-0.298102,0.954026,0.095245,0.607414,0.045097,-0.054589,0.057680,-0.626364,0.775475,-0.133255,0.390085,0.039294,-0.029270,-0.004993,0.309319,-0.950495,0.009663,0.457480,0.947110
10,0.083333,0.031193,0.000294,-0.298113,0.954021,0.095248,0.607409,0.045102,-0.054524,0.057659,-0.626357,0.775486,-0.133256,0.390081,0.039298,-0.029245,-0.004940,0.309106,-0.950565,0.009673,0.457433,0.947112
11,0.091667,0.031161,0.000303,-0.298100,0.954026,0.095247,0.607411,0.045100,-0.054581,0.057680,-0.626370,0.775471,-0.133248,0.390084,0.039295,-0.029169,-0.004882,0.308931,-0.950625,0.009674,0.457419,0.947130
