Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.037506,-0.001385,-0.056680,0.997687,-0.404891,0.165711,0.371522,0.014529,-0.069590,0.299424,-0.951468,-0.549568,0.004049,0.426954,0.002398,0.015069,-0.173751,0.984671,-0.538575,0.124641,1.275201
1,0.008333,0.037751,-0.001309,-0.056510,0.997687,-0.404924,0.165654,0.371509,0.001733,-0.054833,0.299499,-0.952518,-0.535055,0.001935,0.421324,0.000416,0.015520,-0.175124,0.984424,-0.535517,0.124520,1.276825
2,0.016667,0.037729,-0.001298,-0.056552,0.997686,-0.404931,0.165643,0.371476,-0.002993,-0.052475,0.297520,-0.953268,-0.521254,0.000274,0.415436,-0.000075,0.014389,-0.175582,0.984360,-0.532479,0.124328,1.278315
3,0.025000,0.037543,-0.001347,-0.056579,0.997691,-0.404946,0.165640,0.371429,-0.003665,-0.040671,0.297825,-0.953747,-0.508799,-0.001868,0.410003,-0.001222,0.013260,-0.176107,0.984281,-0.529878,0.123967,1.279842
4,0.033333,0.037254,-0.001497,-0.056559,0.997703,-0.404962,0.165643,0.371344,-0.016893,-0.037131,0.297521,-0.953843,-0.497734,-0.002664,0.406076,-0.001957,0.013747,-0.175752,0.984337,-0.526966,0.123387,1.280713
5,0.041667,0.037053,-0.001500,-0.056436,0.997717,-0.404972,0.165650,0.371274,-0.023485,-0.034119,0.293966,-0.954918,-0.488345,-0.002670,0.401929,-0.001857,0.015737,-0.176481,0.984177,-0.524105,0.122723,1.281149
6,0.050000,0.037072,-0.001535,-0.056500,0.997713,-0.404999,0.165648,0.371206,-0.029528,-0.032375,0.293011,-0.955105,-0.480130,-0.002609,0.398030,-0.001948,0.014713,-0.175429,0.984380,-0.521440,0.122271,1.281846
7,0.058333,0.037720,-0.000087,-0.056501,0.997690,-0.405085,0.165754,0.371364,-0.040354,-0.029849,0.291209,-0.955342,-0.473033,-0.002181,0.394424,-0.001969,0.012799,-0.175042,0.984476,-0.518841,0.121990,1.282255
8,0.066667,0.038212,0.000413,-0.056323,0.997681,-0.405129,0.165760,0.371373,-0.048505,-0.027968,0.290451,-0.955251,-0.467167,-0.001511,0.390843,-0.001004,0.011563,-0.173832,0.984707,-0.516284,0.121338,1.282327
9,0.075000,0.038264,0.000261,-0.056207,0.997686,-0.405147,0.165751,0.371285,-0.057585,-0.024049,0.289260,-0.955215,-0.462420,-0.000299,0.387305,-0.003259,0.007925,-0.172161,0.985032,-0.512827,0.121644,1.283277
10,0.083333,0.038269,0.000017,-0.056134,0.997690,-0.405159,0.165727,0.371206,-0.065891,-0.022556,0.288422,-0.954967,-0.458734,0.001315,0.383985,-0.002080,0.007106,-0.170685,0.985298,-0.510647,0.120860,1.283102
11,0.091667,0.038341,-0.000399,-0.056666,0.997657,-0.405123,0.165738,0.371197,-0.072428,-0.023520,0.287858,-0.954641,-0.456124,0.003064,0.381375,-0.001365,0.006766,-0.169731,0.985466,-0.508032,0.120094,1.282933
12,0.100000,0.038498,-0.000883,-0.056695,0.997649,-0.405138,0.165710,0.371105,-0.065215,-0.025309,0.287260,-0.955295,-0.454555,0.004827,0.379275,-0.000908,0.006523,-0.168225,0.985727,-0.505119,0.119251,1.282737
13,0.108333,0.038737,-0.001310,-0.056574,0.997646,-0.405139,0.165670,0.370991,-0.051256,-0.030541,0.286305,-0.956279,-0.454082,0.006172,0.377572,0.000255,0.006981,-0.167345,0.985874,-0.502771,0.118268,1.282257
14,0.116667,0.039279,-0.001553,-0.056603,0.997623,-0.405151,0.165621,0.370863,-0.040472,-0.032345,0.288992,-0.955929,-0.454331,0.006995,0.376648,0.000380,0.012556,-0.167779,0.985745,-0.500116,0.116738,1.280535
15,0.125000,0.040861,-0.001865,-0.056594,0.997559,-0.405186,0.165490,0.370733,-0.032176,-0.034243,0.292462,-0.955122,-0.454982,0.007733,0.375534,0.000849,0.012079,-0.167035,0.985877,-0.497763,0.115722,1.280049
16,0.133333,0.041584,-0.002357,-0.056334,0.997543,-0.405383,0.165560,0.370479,-0.024945,-0.034718,0.296331,-0.954128,-0.455704,0.008719,0.374072,0.001726,0.008074,-0.164807,0.986291,-0.495667,0.115465,1.280183
17,0.141667,0.041660,-0.002847,-0.056097,0.997552,-0.405500,0.165611,0.370337,-0.022382,-0.032442,0.300819,-0.952866,-0.456481,0.009842,0.372717,0.001747,0.008728,-0.163651,0.986478,-0.493302,0.114459,1.279944
18,0.150000,0.041744,-0.003085,-0.055909,0.997558,-0.405574,0.165636,0.370222,-0.013860,-0.033487,0.300779,-0.953005,-0.457099,0.010512,0.371320,0.002201,0.007979,-0.162868,0.986613,-0.490864,0.113730,1.279524
19,0.158333,0.040506,-0.000706,-0.055425,0.997641,-0.405729,0.165581,0.370491,-0.013832,-0.030659,0.302035,-0.952703,-0.457398,0.011327,0.370502,0.002335,0.008000,-0.162055,0.986747,-0.488746,0.112686,1.279262
20,0.166667,0.040647,-0.000361,-0.055302,0.997642,-0.405749,0.165487,0.370512,-0.011605,-0.028152,0.303216,-0.952435,-0.457344,0.011789,0.369824,0.002409,0.008105,-0.161732,0.986799,-0.486486,0.111891,1.278938
21,0.175000,0.040680,-0.000494,-0.055188,0.997647,-0.405737,0.165417,0.370476,-0.001879,-0.026615,0.303265,-0.952533,-0.456739,0.012053,0.369265,0.003083,0.008394,-0.161515,0.986830,-0.484613,0.111203,1.278650
22,0.183333,0.040827,-0.000497,-0.055173,0.997642,-0.405709,0.165357,0.370446,0.000066,-0.025815,0.304870,-0.952044,-0.456141,0.012261,0.368718,0.003561,0.009329,-0.161280,0.986858,-0.482617,0.110496,1.278432
23,0.191667,0.041051,-0.000345,-0.055173,0.997633,-0.405681,0.165293,0.370438,0.004861,-0.027070,0.304892,-0.951990,-0.455911,0.012365,0.368341,0.004199,0.009132,-0.161712,0.986787,-0.480893,0.109960,1.278044
24,0.200000,0.041439,0.000031,-0.055263,0.997612,-0.405693,0.165223,0.370485,0.006744,-0.028680,0.304714,-0.951988,-0.455902,0.012504,0.368300,0.005250,0.010352,-0.162354,0.986664,-0.479401,0.109317,1.277671
25,0.208333,0.041887,0.000260,-0.055447,0.997583,-0.405770,0.165186,0.370526,0.006578,-0.027998,0.306131,-0.951555,-0.455983,0.013005,0.367889,0.005707,0.010693,-0.163173,0.986523,-0.477865,0.108651,1.277500
26,0.216667,0.043162,0.000346,-0.055723,0.997513,-0.405919,0.165126,0.370591,0.005988,-0.026781,0.308035,-0.950979,-0.456082,0.013638,0.367391,0.006609,0.010960,-0.164134,0.986355,-0.476435,0.108188,1.277368
27,0.225000,0.042787,0.000675,-0.055399,0.997547,-0.405977,0.165207,0.370627,0.006568,-0.025888,0.308744,-0.950770,-0.456129,0.013991,0.367113,0.007045,0.011293,-0.165258,0.986161,-0.475200,0.107658,1.277392
28,0.233333,0.042759,0.000941,-0.055314,0.997553,-0.406005,0.165218,0.370678,0.008795,-0.026055,0.308568,-0.950805,-0.456068,0.013960,0.367123,0.007828,0.011529,-0.167075,0.985846,-0.474062,0.107102,1.277360
29,0.241667,0.042418,0.001204,-0.055359,0.997564,-0.405982,0.165211,0.370743,0.010431,-0.026249,0.308200,-0.950902,-0.455998,0.013848,0.367077,0.008386,0.011632,-0.167895,0.985701,-0.472880,0.106633,1.277387
30,0.250000,0.041947,0.001521,-0.055408,0.997581,-0.405950,0.165222,0.370830,0.006827,-0.023824,0.310150,-0.950364,-0.455878,0.014089,0.366395,0.008598,0.010877,-0.169180,0.985488,-0.471908,0.106092,1.277312
31,0.258333,0.041594,0.001754,-0.055410,0.997595,-0.405926,0.165227,0.370911,0.007966,-0.023594,0.309718,-0.950502,-0.455760,0.013988,0.366366,0.008825,0.010801,-0.170896,0.985190,-0.470788,0.105727,1.277388
32,0.266667,0.041242,0.001994,-0.055430,0.997609,-0.405929,0.165249,0.371002,0.008692,-0.022869,0.309218,-0.950677,-0.455639,0.013935,0.366331,0.009412,0.011509,-0.171590,0.985056,-0.469852,0.105404,1.277387
33,0.275000,0.041102,0.002341,-0.055372,0.997617,-0.405940,0.165269,0.371104,0.010134,-0.022931,0.308574,-0.950870,-0.455646,0.013772,0.366391,0.009278,0.011844,-0.172597,0.984878,-0.468837,0.105082,1.277488
34,0.283333,0.040071,0.002249,-0.055386,0.997658,-0.405966,0.165277,0.371201,0.010756,-0.022810,0.308714,-0.950820,-0.455755,0.013740,0.366312,0.008940,0.012452,-0.173020,0.984799,-0.468057,0.104759,1.277755
35,0.291667,0.039796,0.002507,-0.055325,0.997672,-0.405967,0.165294,0.371280,0.011016,-0.022692,0.308583,-0.950863,-0.455769,0.013652,0.366273,0.009381,0.012920,-0.173122,0.984771,-0.467153,0.104435,1.277873
36,0.300000,0.038791,0.002032,-0.055415,0.997708,-0.405983,0.165309,0.371315,0.010969,-0.022468,0.308617,-0.950858,-0.455753,0.013585,0.366245,0.009595,0.012821,-0.173761,0.984658,-0.466223,0.104179,1.278010
37,0.308333,0.038781,0.002323,-0.055354,0.997711,-0.406004,0.165307,0.371379,0.011123,-0.022381,0.308654,-0.950846,-0.455775,0.013512,0.366228,0.010002,0.012060,-0.173652,0.984683,-0.465131,0.103658,1.278072
38,0.316667,0.038620,0.002431,-0.055266,0.997722,-0.406032,0.165308,0.371425,0.011421,-0.022327,0.308748,-0.950813,-0.455775,0.013476,0.366237,0.010304,0.011917,-0.173704,0.984672,-0.464279,0.103226,1.278125
39,0.325000,0.038466,0.002514,-0.055199,0.997731,-0.406065,0.165318,0.371452,0.011852,-0.022365,0.308718,-0.950817,-0.455813,0.013425,0.366254,0.010862,0.012800,-0.173831,0.984632,-0.463211,0.102940,1.278009
40,0.333333,0.038401,0.002654,-0.055130,0.997737,-0.406121,0.165335,0.371491,0.012272,-0.022348,0.308842,-0.950772,-0.455856,0.013412,0.366267,0.011052,0.012620,-0.173716,0.984653,-0.462361,0.102648,1.278098
41,0.341667,0.038095,0.002672,-0.054981,0.997757,-0.406188,0.165375,0.371514,0.016167,-0.025308,0.305683,-0.951660,-0.456063,0.012894,0.366678,0.011039,0.013619,-0.173155,0.984739,-0.461279,0.102185,1.277921
