Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.000418,0.053942,-0.353967,-0.933701,-0.976215,0.652573,0.058590,0.012701,-0.002277,0.028146,0.999521,-1.018782,0.386499,0.031772,-0.033656,0.010461,-0.215944,-0.975770,-1.046335,0.414242,0.943875
1,0.008333,0.000303,0.058198,-0.356897,-0.932329,-0.970770,0.654859,0.058654,0.013218,-0.002719,0.027515,0.999530,-1.018878,0.386564,0.031710,-0.032573,0.010009,-0.215581,-0.975891,-1.045504,0.415363,0.943734
2,0.016667,0.001280,0.062171,-0.359984,-0.930884,-0.965746,0.656943,0.058738,0.013862,-0.003051,0.027135,0.999531,-1.018917,0.386639,0.031658,-0.031752,0.008204,-0.215166,-0.976027,-1.044952,0.416422,0.943704
3,0.025000,0.002748,0.063595,-0.360262,-0.930677,-0.961048,0.659342,0.059140,0.014062,-0.003091,0.026856,0.999536,-1.018958,0.386652,0.031615,-0.031865,0.008466,-0.214379,-0.976194,-1.044213,0.417538,0.943405
4,0.033333,0.004294,0.065131,-0.360276,-0.930559,-0.956635,0.661470,0.059278,0.014001,-0.003298,0.026663,0.999541,-1.018984,0.386659,0.031604,-0.029111,0.007165,-0.214041,-0.976365,-1.043406,0.418802,0.943498
5,0.041667,0.006365,0.066823,-0.359259,-0.930821,-0.952470,0.663432,0.059333,0.013808,-0.003430,0.026549,0.999546,-1.018995,0.386654,0.031598,-0.029576,0.008151,-0.211821,-0.976827,-1.042137,0.420043,0.943468
6,0.050000,0.010984,0.071717,-0.355703,-0.931779,-0.949130,0.665343,0.058863,0.013505,-0.003534,0.026480,0.999552,-1.019007,0.386631,0.031600,-0.029060,0.007496,-0.210864,-0.977055,-1.041162,0.421279,0.943301
7,0.058333,0.013708,0.071912,-0.354524,-0.932177,-0.945599,0.667005,0.058774,0.012929,-0.002931,0.026619,0.999558,-1.019145,0.386630,0.031476,-0.029921,0.008677,-0.210210,-0.977160,-1.040239,0.422577,0.943188
8,0.066667,0.016157,0.070920,-0.353094,-0.932756,-0.942250,0.668428,0.058566,0.012539,-0.002594,0.026654,0.999563,-1.019266,0.386648,0.031379,-0.027639,0.006697,-0.209652,-0.977363,-1.039509,0.424058,0.943160
9,0.075000,0.018949,0.069909,-0.351849,-0.933250,-0.939159,0.669621,0.058211,0.012686,-0.002267,0.026382,0.999569,-1.019275,0.386664,0.031324,-0.027390,0.006468,-0.207917,-0.977742,-1.038349,0.425521,0.942762
