Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.008410,0.029053,-0.782702,-0.621662,0.201597,-0.443105,0.029177,0.050326,0.028003,-0.517389,-0.853810,0.436699,-0.434844,0.031090,-0.021266,-0.005185,0.716202,0.697550,0.286999,-0.434439,0.940072
1,0.008333,0.008292,0.028779,-0.782634,-0.621761,0.201618,-0.443096,0.029182,0.050646,0.028535,-0.517329,-0.853810,0.436625,-0.434832,0.031040,-0.020863,-0.004977,0.716136,0.697631,0.287509,-0.434294,0.940057
2,0.016667,0.008157,0.028487,-0.782578,-0.621848,0.201641,-0.443066,0.029172,0.051115,0.029167,-0.517325,-0.853763,0.436515,-0.434826,0.030978,-0.020509,-0.005053,0.716172,0.697605,0.288080,-0.434166,0.940224
3,0.025000,0.008023,0.028222,-0.782553,-0.621892,0.201680,-0.443034,0.029162,0.051624,0.029974,-0.517332,-0.853700,0.436412,-0.434827,0.030911,-0.020161,-0.004921,0.716234,0.697552,0.288563,-0.433927,0.940297
4,0.033333,0.007842,0.027743,-0.782477,-0.622011,0.201731,-0.442998,0.029154,0.052511,0.031158,-0.517223,-0.853670,0.436332,-0.434807,0.030804,-0.019362,-0.004574,0.716707,0.697090,0.288979,-0.433478,0.940259
5,0.041667,0.007686,0.027317,-0.782413,-0.622114,0.201790,-0.442959,0.029124,0.052995,0.031843,-0.517243,-0.853602,0.436252,-0.434815,0.030730,-0.018391,-0.004171,0.717252,0.696559,0.289539,-0.433148,0.940118
6,0.050000,0.007459,0.026776,-0.782362,-0.622203,0.201844,-0.442914,0.029109,0.053397,0.032470,-0.517316,-0.853510,0.436171,-0.434836,0.030675,-0.018321,-0.003816,0.717768,0.696031,0.290054,-0.432949,0.940060
7,0.058333,0.006996,0.026016,-0.782357,-0.622248,0.201908,-0.442870,0.029088,0.053734,0.033077,-0.517427,-0.853398,0.436112,-0.434858,0.030613,-0.017964,-0.003087,0.718138,0.695662,0.290811,-0.432908,0.939939
8,0.066667,0.006604,0.025271,-0.782352,-0.622289,0.201974,-0.442819,0.029068,0.053824,0.033468,-0.517462,-0.853355,0.436080,-0.434890,0.030563,-0.018210,-0.002891,0.718549,0.695232,0.291626,-0.432822,0.939973
9,0.075000,0.006095,0.024402,-0.782352,-0.622329,0.202048,-0.442775,0.029048,0.053803,0.033823,-0.517559,-0.853284,0.436060,-0.434921,0.030511,-0.017733,-0.002375,0.719081,0.694695,0.292407,-0.432745,0.939912
10,0.083333,0.005493,0.023448,-0.782367,-0.622352,0.202126,-0.442735,0.029024,0.053694,0.033990,-0.517597,-0.853262,0.436068,-0.434954,0.030472,-0.017657,-0.001849,0.719679,0.694080,0.293114,-0.432587,0.939797
11,0.091667,0.005108,0.022851,-0.782413,-0.622320,0.202197,-0.442700,0.029006,0.053459,0.033988,-0.517616,-0.853265,0.436088,-0.434994,0.030447,-0.017698,-0.001400,0.720160,0.693581,0.293982,-0.432513,0.939652
12,0.100000,0.004823,0.022307,-0.782432,-0.622317,0.202250,-0.442672,0.028990,0.053158,0.034005,-0.517672,-0.853249,0.436111,-0.435030,0.030414,-0.018442,-0.000605,0.720565,0.693142,0.294852,-0.432504,0.939629
13,0.108333,0.004544,0.021697,-0.782448,-0.622322,0.202301,-0.442663,0.028991,0.052863,0.034010,-0.517653,-0.853278,0.436155,-0.435074,0.030385,-0.018675,-0.000532,0.720993,0.692691,0.295743,-0.432433,0.939640
14,0.116667,0.004234,0.021261,-0.782507,-0.622264,0.202340,-0.442649,0.028984,0.052513,0.033983,-0.517661,-0.853297,0.436198,-0.435114,0.030349,-0.018340,-0.000008,0.721337,0.692342,0.296594,-0.432354,0.939517
15,0.125000,0.003950,0.020772,-0.782548,-0.622231,0.202359,-0.442629,0.028990,0.052225,0.034022,-0.517698,-0.853290,0.436245,-0.435149,0.030313,-0.018402,0.000615,0.721707,0.691954,0.297431,-0.432337,0.939370
16,0.133333,0.003853,0.020508,-0.782605,-0.622169,0.202381,-0.442611,0.028988,0.051954,0.034085,-0.517702,-0.853301,0.436279,-0.435174,0.030278,-0.017774,0.001130,0.722039,0.691623,0.298233,-0.432321,0.939323
17,0.141667,0.003748,0.020245,-0.782658,-0.622112,0.202395,-0.442589,0.028994,0.051803,0.034162,-0.517710,-0.853303,0.436311,-0.435201,0.030240,-0.017954,0.001767,0.721995,0.691663,0.299065,-0.432278,0.939237
18,0.150000,0.003675,0.019985,-0.782715,-0.622048,0.202405,-0.442562,0.028998,0.051690,0.034265,-0.517717,-0.853302,0.436325,-0.435212,0.030214,-0.017733,0.002511,0.722238,0.691413,0.299873,-0.432301,0.939321
19,0.158333,0.003535,0.019254,-0.782819,-0.621941,0.202431,-0.442485,0.028968,0.051120,0.034262,-0.517583,-0.853417,0.436309,-0.435191,0.030147,-0.017483,0.002657,0.722216,0.691442,0.300668,-0.432259,0.939500
20,0.166667,0.003306,0.018595,-0.782850,-0.621924,0.202472,-0.442461,0.028942,0.050813,0.034223,-0.517457,-0.853513,0.436295,-0.435178,0.030117,-0.016893,0.003088,0.722215,0.691456,0.301474,-0.432220,0.939544
21,0.175000,0.003264,0.018320,-0.782915,-0.621851,0.202509,-0.442427,0.028927,0.050651,0.034390,-0.517378,-0.853565,0.436292,-0.435172,0.030074,-0.016221,0.004535,0.722031,0.691656,0.302439,-0.432386,0.939312
22,0.183333,0.003104,0.018004,-0.783008,-0.621744,0.202539,-0.442391,0.028919,0.050606,0.034448,-0.517331,-0.853593,0.436281,-0.435171,0.030042,-0.015787,0.004828,0.722094,0.691598,0.303324,-0.432451,0.939320
23,0.191667,0.002888,0.017596,-0.783102,-0.621638,0.202579,-0.442362,0.028925,0.050671,0.034545,-0.517321,-0.853591,0.436272,-0.435175,0.030027,-0.014728,0.005055,0.721866,0.691858,0.304221,-0.432395,0.939210
24,0.200000,0.002641,0.017161,-0.783148,-0.621593,0.202629,-0.442334,0.028929,0.050836,0.034741,-0.517319,-0.853575,0.436274,-0.435187,0.030011,-0.015215,0.004556,0.722018,0.691692,0.305119,-0.432404,0.939400
25,0.208333,0.002373,0.016723,-0.783237,-0.621494,0.202669,-0.442310,0.028927,0.050930,0.034833,-0.517309,-0.853572,0.436272,-0.435199,0.029990,-0.013327,0.005661,0.722302,0.691426,0.305890,-0.432420,0.939579
26,0.216667,0.002173,0.016312,-0.783296,-0.621431,0.202731,-0.442282,0.028919,0.050840,0.034874,-0.517290,-0.853587,0.436265,-0.435196,0.029973,-0.012895,0.006011,0.722032,0.691713,0.306790,-0.432379,0.939679
27,0.225000,0.001900,0.015853,-0.783343,-0.621385,0.202772,-0.442263,0.028917,0.050759,0.034906,-0.517253,-0.853612,0.436274,-0.435197,0.029956,-0.012997,0.007059,0.721720,0.692027,0.307824,-0.432390,0.939555
