sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
0,step_decsent,stand,13.0808,11.8857,1.1951
1,walk,stand,13.0808,12.9889,0.0919
2,quasi,stand,13.0808,12.8888,0.1919
3,jog,stand,13.0808,12.8786,0.2022
4,quasi,stand,13.0808,12.8888,0.1919
5,step_acsent,stand,13.0808,12.1933,0.8875
6,jog,stand,13.0808,12.8786,0.2022
8,walk,stand,13.0808,12.9889,0.0919
13,stair_acsent,stand,13.0808,12.1238,0.9570
14,walk,stand,13.0808,12.9889,0.0919
15,jog,stand,13.0808,12.8786,0.2022
16,quasi,stand,13.0808,12.8888,0.1919
18,quasi,stand,13.0808,12.8888,0.1919
20,quasi,stand,13.0808,12.8888,0.1919
23,walk,stand,13.0808,12.9889,0.0919
24,walk,stand,13.0808,12.9889,0.0919
27,walk,stand,13.0808,12.9889,0.0919
28,quasi,stand,13.0808,12.8888,0.1919
29,quasi,stand,13.0808,12.8888,0.1919
30,walk,stand,13.0808,12.9889,0.0919
