sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
46,Walk,Jog,99.9305,0.0686,99.8619
25,Stand,Walk,99.3521,0.5991,98.7531
120,Jog,Walk,99.2381,0.5157,98.7224
115,Jog,Walk,93.5540,4.5848,88.9692
50,Walk,Jog,93.1141,6.8708,86.2433
193,Jog,Walk,85.7090,13.9805,71.7285
72,Jog,Walk,82.6482,17.3180,65.3302
95,Jog,Walk,72.5346,27.3979,45.1366
128,Stand,Jog,72.1806,26.3028,45.8777
148,Stand,Jog,68.5769,31.2684,37.3085
14,Walk,Jog,64.7648,34.9718,29.7931
67,Jog,Walk,62.5451,7.5911,54.9540
93,Stand,Jog,59.2886,39.0346,20.2540
181,Stand,Walk,54.4269,27.8411,26.5858
2,Stand,Walk,52.5540,26.2186,26.3354
107,Stand,Jog,51.3473,46.6099,4.7374
41,Jog,Walk,50.0654,43.3211,6.7443
223,Walk,Jog,49.9603,30.2028,19.7575
6,Jog,Stand,46.0920,36.9886,9.1034
