sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
633,stand,step_decsent,99.9997,0.0001,99.9996
249,stand,step_decsent,99.9991,0.0009,99.9982
648,stand,jog,99.9970,0.0029,99.9941
873,stand,jog,99.9929,0.0069,99.9860
37,stand,step_decsent,99.9914,0.0082,99.9832
754,stand,step_decsent,99.9776,0.0222,99.9554
725,stand,step_decsent,99.9740,0.0257,99.9483
598,stand,jog,99.9334,0.0663,99.8671
30,jog,step_decsent,99.8308,0.0833,99.7475
938,step_acsent,stair_decsent,99.7363,0.0002,99.7361
210,stand,walk,99.6179,0.3494,99.2685
175,step_decsent,step_acsent,99.4392,0.5416,98.8976
92,jog,stair_decsent,99.2979,0.0302,99.2677
546,stand,stair_decsent,99.1964,0.4044,98.7920
72,stand,walk,99.1117,0.8626,98.2491
468,step_decsent,step_acsent,99.1056,0.0000,99.1056
218,stand,walk,99.0894,0.9019,98.1875
57,stand,walk,98.9483,1.0416,97.9067
480,stand,jog,98.9160,1.0613,97.8546
28,quasi,stand,98.8353,0.0011,98.8341
